Golden State,Philadelphia,time_rem
29-29,39-18,48M 0S
0,2,47M 44S
0,4,47M 6S
0,7,46M 49S
0,10,45M 7S
0,12,44M 54S
2,12,44M 35S
4,12,44M 0S
5,12,43M 4S
6,12,43M 4S
6,15,42M 37S
6,16,41M 42S
9,16,41M 29S
12,16,41M 5S
12,18,40M 49S
14,18,40M 16S
15,18,40M 16S
15,19,40M 3S
15,20,40M 3S
15,22,39M 43S
17,22,38M 15S
19,22,37M 44S
21,22,36M 38S
21,23,36M 18S
21,24,36M 18S
24,24,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,26,35M 16S
27,26,35M 5S
28,26,34M 11S
28,28,33M 36S
29,28,33M 26S
30,28,33M 26S
33,28,32M 35S
33,30,32M 4S
33,33,31M 35S
36,33,30M 59S
38,33,30M 31S
39,33,30M 31S
39,36,29M 58S
39,39,29M 25S
41,39,29M 4S
41,41,28M 53S
43,41,28M 37S
43,43,28M 10S
46,43,28M 1S
47,43,27M 36S
47,46,27M 19S
49,46,27M 4S
49,49,26M 35S
51,49,26M 20S
51,50,25M 58S
53,50,25M 6S
53,53,24M 55S
55,53,24M 28S
55,55,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,55,23M 52S
57,55,23M 52S
58,55,23M 52S
58,57,23M 41S
59,57,21M 55S
60,57,21M 55S
60,59,20M 59S
62,59,20M 45S
62,61,19M 24S
62,62,18M 57S
63,62,18M 41S
65,62,17M 36S
65,65,17M 19S
68,65,16M 57S
68,66,16M 36S
68,67,16M 36S
68,70,15M 58S
71,70,15M 38S
73,70,14M 0S
74,70,12M 57S
75,70,12M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,72,11M 36S
76,72,11M 23S
77,72,11M 23S
78,72,10M 24S
78,74,10M 13S
79,74,10M 1S
81,74,9M 16S
81,76,9M 4S
81,78,8M 38S
81,80,8M 9S
81,82,7M 17S
81,83,6M 40S
81,84,6M 40S
83,84,6M 29S
83,86,6M 17S
86,86,6M 7S
86,88,5M 3S
88,88,4M 38S
88,90,4M 13S
91,90,4M 1S
91,91,3M 46S
91,92,3M 46S
92,92,3M 33S
93,92,3M 33S
96,92,2M 54S
98,92,2M 25S
101,92,2M 1S
101,95,1M 31S
104,95,1M 8S
105,95,29S
106,95,29S
107,95,18S
107,96,9S
End of 4th quarter,NA,0S
