Milwaukee,Brooklyn,time_rem
0-1,1-0,48M 0S
0,0,47M 47S
2,0,47M 18S
2,3,47M 7S
4,3,46M 53S
4,5,46M 34S
7,5,46M 16S
7,7,46M 4S
7,9,45M 47S
10,9,45M 31S
12,9,44M 42S
14,9,44M 2S
14,11,43M 50S
16,11,43M 31S
18,11,43M 5S
20,11,42M 58S
20,14,42M 31S
20,17,42M 1S
21,17,41M 43S
22,17,41M 43S
22,19,41M 22S
22,20,40M 54S
22,21,40M 54S
24,21,39M 57S
26,21,39M 14S
28,21,38M 40S
28,23,38M 28S
28,26,38M 3S
30,26,37M 23S
30,28,37M 5S
30,30,36M 24S
32,30,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,33,35M 38S
34,33,35M 21S
36,33,35M 5S
36,35,34M 53S
38,35,34M 0S
38,37,33M 48S
40,37,33M 27S
40,39,33M 20S
41,39,33M 11S
42,39,33M 11S
42,41,33M 2S
42,44,32M 41S
42,47,31M 40S
44,47,31M 27S
Jump ball: B. Portis vs. B. Griffin (B. Forbes gains possession),NA,30M 47S
44,49,30M 20S
46,49,30M 11S
46,51,29M 35S
48,51,29M 16S
48,53,28M 56S
48,54,28M 38S
48,55,28M 38S
48,57,27M 38S
48,59,27M 22S
51,59,27M 13S
Jump ball: B. Griffin vs. P. Connaughton (K. Durant gains possession),NA,26M 48S
53,59,26M 14S
53,61,25M 57S
56,61,25M 22S
56,63,24M 44S
58,63,24M 24S
60,63,24M 0S
61,63,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,65,23M 41S
61,68,22M 30S
63,68,21M 40S
63,70,20M 52S
65,70,20M 18S
67,70,19M 51S
67,72,19M 32S
69,72,19M 14S
69,74,19M 0S
71,74,18M 6S
71,76,17M 53S
71,79,17M 26S
73,79,17M 9S
73,80,16M 46S
73,81,16M 46S
73,83,16M 21S
75,83,15M 57S
77,83,15M 10S
77,86,14M 56S
79,86,14M 45S
80,86,14M 45S
80,89,14M 7S
80,91,13M 46S
81,91,13M 36S
82,91,13M 36S
82,93,13M 23S
82,94,12M 40S
82,95,12M 40S
82,98,12M 5S
84,98,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,98,11M 14S
86,101,10M 31S
88,101,8M 59S
88,103,8M 22S
90,103,7M 33S
93,103,7M 1S
93,105,6M 43S
93,107,6M 24S
93,109,5M 54S
95,109,5M 18S
95,112,5M 2S
96,112,4M 52S
96,115,3M 41S
98,115,3M 26S
100,115,2M 36S
101,115,1M 26S
104,115,1M 18S
106,115,14S
107,115,14S
End of 4th quarter,NA,0S
