New York,Dallas,time_rem
30-27,30-25,48M 0S
0,0,47M 35S
2,0,47M 31S
2,2,46M 56S
5,2,46M 34S
5,5,46M 20S
7,5,46M 1S
7,7,45M 46S
7,10,45M 26S
7,13,44M 47S
10,13,44M 31S
12,13,44M 4S
12,16,43M 53S
14,16,43M 41S
17,16,43M 13S
17,19,42M 26S
19,19,42M 1S
21,19,41M 29S
23,19,40M 48S
23,21,40M 25S
25,21,38M 51S
25,23,38M 27S
27,23,38M 11S
30,23,37M 43S
30,25,37M 0S
31,25,36M 46S
34,25,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,25,35M 41S
37,27,35M 23S
37,29,34M 59S
39,29,34M 45S
41,29,34M 4S
41,31,33M 52S
41,33,33M 34S
41,36,32M 55S
41,37,32M 28S
Jump ball: T. Gibson vs. T. Hardaway (R. Bullock gains possession),NA,32M 10S
43,37,30M 22S
45,37,29M 32S
45,40,28M 34S
48,40,28M 19S
48,41,28M 11S
48,42,28M 11S
48,44,27M 46S
48,46,27M 2S
48,47,26M 32S
50,47,26M 14S
52,47,25M 46S
52,50,25M 29S
52,51,24M 47S
52,52,24M 47S
53,52,24M 17S
56,52,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,53,22M 48S
56,54,22M 48S
56,56,22M 12S
58,56,21M 23S
58,59,21M 10S
61,59,20M 41S
61,61,20M 28S
62,61,20M 13S
63,61,20M 13S
63,63,19M 29S
63,64,19M 6S
63,65,19M 6S
63,67,18M 36S
66,67,18M 16S
66,70,17M 56S
68,70,17M 43S
70,70,16M 38S
71,70,16M 38S
73,70,15M 46S
73,73,15M 28S
76,73,15M 10S
76,75,14M 24S
76,77,13M 52S
78,77,13M 39S
78,79,13M 6S
80,79,12M 41S
83,79,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,79,11M 23S
86,79,11M 23S
86,82,11M 4S
88,82,10M 40S
91,82,9M 57S
94,82,9M 20S
94,85,9M 1S
96,85,8M 42S
96,87,8M 30S
97,87,7M 56S
99,87,7M 27S
99,90,5M 49S
99,91,5M 19S
101,91,5M 7S
101,93,4M 53S
101,95,4M 27S
102,95,4M 11S
103,95,4M 11S
103,96,3M 21S
103,97,3M 21S
105,97,3M 8S
105,99,2M 32S
106,99,2M 11S
107,99,2M 11S
109,99,1M 44S
109,101,1M 36S
109,102,1M 36S
111,102,1M 15S
112,102,58S
113,102,43S
113,104,40S
114,104,37S
114,106,27S
115,106,24S
115,109,21S
117,109,12S
End of 4th quarter,NA,0S
