Atlanta,New York,time_rem
1-1,1-1,48M 0S
0,0,47M 44S
3,0,47M 16S
3,2,47M 2S
3,3,47M 2S
3,6,46M 29S
3,7,46M 7S
6,7,45M 22S
9,7,44M 49S
12,7,43M 52S
14,7,43M 9S
15,7,42M 29S
16,7,42M 29S
16,8,42M 13S
16,10,41M 46S
18,10,41M 41S
18,11,41M 16S
18,12,41M 16S
20,12,41M 4S
22,12,40M 38S
22,14,39M 34S
24,14,39M 19S
24,16,38M 59S
24,18,38M 30S
25,18,36M 57S
25,19,36M 53S
25,20,36M 53S
27,20,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,22,34M 44S
29,22,34M 32S
30,22,34M 32S
30,23,34M 20S
30,24,34M 20S
32,24,34M 4S
32,25,33M 54S
32,26,33M 54S
32,28,33M 8S
32,31,32M 18S
35,31,31M 36S
35,33,30M 51S
38,33,30M 12S
38,35,29M 51S
40,35,29M 34S
40,37,29M 11S
43,37,28M 46S
43,39,28M 29S
44,39,28M 22S
45,39,28M 22S
45,40,28M 13S
45,41,28M 13S
48,41,27M 35S
49,41,27M 2S
50,41,27M 2S
52,41,26M 32S
54,41,25M 55S
54,42,25M 1S
57,42,24M 47S
57,44,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,47,23M 46S
57,49,22M 57S
59,49,22M 43S
61,49,22M 9S
61,52,21M 48S
61,55,21M 0S
63,55,20M 44S
Jump ball: C. Capela vs. T. Gibson (D. Hunter gains possession),NA,20M 18S
64,55,20M 17S
65,55,20M 17S
66,55,19M 43S
67,55,19M 43S
67,58,18M 20S
70,58,18M 3S
70,60,17M 35S
70,61,17M 8S
70,64,16M 36S
70,66,16M 4S
72,66,15M 49S
72,69,15M 35S
72,72,14M 41S
72,74,13M 45S
73,74,13M 31S
73,76,13M 21S
74,76,13M 10S
75,76,13M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,79,11M 23S
75,81,10M 55S
78,81,10M 2S
78,83,9M 40S
78,84,9M 25S
78,86,9M 0S
78,88,8M 34S
81,88,8M 11S
82,88,7M 47S
83,88,7M 47S
85,88,6M 58S
87,88,6M 30S
87,91,6M 9S
89,91,5M 39S
91,91,5M 6S
91,93,4M 45S
91,96,3M 26S
91,98,1M 41S
91,100,1M 13S
92,100,38S
92,101,26S
End of 4th quarter,NA,0S
