LA Lakers,New Orleans,time_rem
42-30,31-41,47M 56S
3,0,47M 43S
5,0,46M 54S
5,1,46M 46S
7,1,46M 30S
7,4,46M 12S
9,4,45M 14S
9,6,44M 55S
12,6,44M 41S
12,8,44M 18S
14,8,44M 8S
16,8,43M 42S
16,10,43M 19S
19,10,42M 54S
19,12,42M 33S
19,14,42M 5S
21,14,41M 26S
23,14,40M 56S
23,16,40M 21S
25,16,39M 40S
25,18,39M 25S
27,18,39M 15S
30,18,38M 45S
30,20,38M 35S
32,20,38M 21S
32,22,38M 3S
34,22,37M 37S
34,25,37M 28S
35,25,36M 30S
36,25,36M 30S
36,28,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,28,35M 17S
39,30,34M 24S
41,30,33M 43S
41,32,33M 18S
44,32,33M 1S
44,34,32M 32S
44,36,31M 59S
46,36,31M 34S
46,39,31M 7S
49,39,30M 36S
50,39,30M 17S
50,40,29M 37S
50,41,29M 37S
52,41,29M 27S
52,43,29M 16S
52,46,28M 27S
52,48,28M 4S
54,48,27M 19S
54,50,26M 40S
55,50,26M 13S
57,50,25M 57S
57,53,25M 13S
59,53,24M 59S
61,53,24M 43S
61,54,24M 25S
61,55,24M 25S
61,56,24M 25S
63,56,24M 4S
63,59,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,61,23M 35S
66,61,22M 48S
66,63,22M 15S
66,64,21M 41S
66,65,21M 41S
67,65,21M 26S
68,65,21M 26S
68,66,21M 13S
68,67,21M 13S
70,67,20M 49S
70,69,20M 5S
72,69,19M 51S
74,69,19M 21S
74,70,19M 6S
74,71,19M 6S
74,73,18M 26S
76,73,18M 7S
77,73,16M 47S
78,73,16M 47S
80,73,16M 11S
80,75,15M 55S
82,75,14M 53S
84,75,14M 14S
84,76,14M 7S
86,76,13M 45S
89,76,13M 13S
91,76,12M 37S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,79,11M 41S
93,79,10M 47S
93,81,10M 36S
93,83,10M 10S
93,84,9M 41S
93,85,9M 41S
96,85,9M 30S
98,85,8M 59S
98,87,7M 15S
100,87,6M 41S
100,90,6M 19S
100,92,5M 38S
103,92,5M 24S
105,92,4M 53S
Jump ball: M. Gasol vs. W. Hernangómez (W. Matthews gains possession),NA,4M 29S
105,94,4M 9S
107,94,2M 16S
107,96,2M 7S
109,96,1M 12S
109,98,1M 1S
110,98,52S
End of 4th quarter,NA,0S
