Phoenix,Toronto,time_rem
30-14,18-27,48M 0S
0,0,47M 39S
3,0,47M 9S
3,3,46M 52S
3,6,46M 8S
6,6,45M 47S
6,8,45M 33S
6,10,45M 5S
8,10,44M 50S
10,10,44M 36S
10,13,44M 16S
12,13,43M 53S
12,16,42M 54S
14,16,42M 40S
17,16,42M 11S
17,18,41M 57S
19,18,41M 42S
19,20,41M 25S
19,22,40M 47S
19,23,39M 31S
19,24,39M 31S
21,24,39M 1S
21,26,38M 45S
23,26,38M 24S
26,26,37M 53S
26,28,37M 6S
29,28,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,28,34M 45S
34,28,34M 14S
36,28,33M 55S
36,30,33M 17S
36,31,33M 17S
36,34,32M 57S
36,35,32M 8S
36,36,32M 8S
36,39,31M 37S
38,39,31M 0S
38,42,30M 45S
40,42,30M 22S
43,42,29M 58S
45,42,29M 27S
45,44,29M 11S
47,44,28M 36S
47,46,28M 15S
49,46,27M 42S
51,46,27M 7S
53,46,25M 58S
53,47,25M 45S
53,48,25M 45S
Jump ball: P. Siakam vs. J. Crowder (O. Anunoby gains possession),NA,25M 8S
53,50,25M 0S
53,51,25M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,51,23M 41S
57,51,22M 53S
59,51,22M 14S
59,53,22M 0S
61,53,21M 22S
63,53,21M 8S
63,56,20M 53S
65,56,20M 33S
66,56,20M 33S
66,59,20M 23S
68,59,19M 40S
71,59,18M 57S
73,59,18M 22S
73,60,17M 53S
73,62,17M 39S
75,62,17M 11S
75,64,16M 56S
75,66,16M 8S
77,66,15M 22S
77,67,15M 16S
77,68,15M 16S
77,71,14M 49S
77,73,14M 7S
79,73,13M 51S
79,75,13M 40S
81,75,13M 4S
82,75,12M 36S
83,75,12M 36S
83,77,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,77,11M 34S
85,77,11M 34S
87,77,11M 5S
87,79,10M 51S
89,79,10M 34S
89,81,10M 20S
92,81,9M 14S
92,83,9M 0S
94,83,8M 42S
96,83,8M 11S
96,85,7M 56S
96,88,6M 33S
98,88,6M 18S
98,89,4M 43S
98,91,4M 10S
100,91,3M 50S
100,93,3M 30S
100,96,3M 14S
100,97,2M 11S
100,98,2M 11S
101,98,42S
102,98,42S
102,100,36S
103,100,2S
104,100,2S
End of 4th quarter,NA,0S
