Charlotte,Detroit,time_rem
32-33,19-47,48M 0S
0,0,47M 45S
0,2,47M 6S
1,2,46M 44S
2,2,46M 22S
3,2,46M 22S
6,2,45M 45S
6,4,45M 34S
6,6,44M 50S
8,6,44M 41S
11,6,44M 12S
11,8,43M 45S
11,11,42M 18S
14,11,42M 9S
14,13,41M 10S
16,13,41M 4S
16,15,40M 48S
18,15,40M 12S
19,15,39M 55S
20,15,39M 55S
20,17,39M 7S
22,17,38M 52S
22,18,38M 43S
22,19,38M 43S
24,19,38M 21S
26,19,37M 59S
26,21,37M 49S
26,23,37M 39S
28,23,37M 25S
28,26,37M 5S
29,26,36M 44S
30,26,36M 44S
30,28,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,28,35M 11S
32,30,34M 19S
32,33,33M 56S
34,33,32M 57S
34,34,32M 28S
34,35,32M 28S
37,35,31M 54S
37,37,31M 26S
39,37,31M 19S
40,37,31M 19S
40,39,30M 53S
41,39,30M 34S
42,39,30M 34S
44,39,30M 3S
44,41,29M 44S
46,41,28M 32S
46,43,27M 38S
48,43,26M 59S
48,44,26M 46S
48,46,26M 33S
51,46,25M 54S
53,46,24M 46S
53,49,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,49,23M 27S
58,49,22M 49S
58,51,22M 32S
58,54,22M 18S
60,54,21M 54S
62,54,21M 21S
62,56,20M 31S
62,59,19M 46S
64,59,19M 33S
66,59,17M 29S
66,61,17M 10S
69,61,17M 3S
69,63,16M 37S
69,65,15M 51S
69,66,15M 51S
70,66,15M 29S
71,66,15M 29S
72,66,15M 2S
73,66,15M 2S
75,66,13M 29S
75,68,13M 9S
77,68,12M 59S
78,68,12M 59S
78,70,12M 44S
78,71,12M 27S
78,72,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,72,11M 37S
82,72,11M 10S
82,74,10M 27S
83,74,10M 13S
83,76,9M 3S
85,76,8M 44S
85,77,8M 8S
85,78,8M 8S
85,80,7M 26S
88,80,7M 14S
88,82,6M 52S
88,85,5M 38S
88,87,4M 54S
90,87,4M 41S
92,87,4M 11S
94,87,3M 43S
94,89,3M 17S
94,92,2M 52S
96,92,2M 28S
96,94,2M 0S
98,94,1M 31S
98,95,54S
100,95,41S
100,98,31S
100,99,9S
101,99,5S
102,99,5S
End of 4th quarter,NA,0S
