Oklahoma City,Portland,time_rem
7-9,9-7,48M 0S
0,0,47M 43S
0,2,46M 57S
3,2,46M 25S
5,2,45M 42S
5,4,45M 24S
7,4,45M 8S
8,4,45M 8S
8,6,44M 6S
11,6,43M 49S
12,6,43M 28S
12,8,43M 3S
12,10,42M 34S
14,10,42M 27S
14,11,41M 43S
17,11,41M 34S
20,11,41M 10S
22,11,40M 39S
22,12,40M 26S
22,13,40M 26S
25,13,40M 18S
25,15,40M 1S
28,15,39M 46S
30,15,39M 9S
32,15,38M 47S
32,16,38M 15S
32,17,38M 15S
32,19,37M 48S
32,21,37M 13S
32,24,36M 30S
34,24,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,26,35M 37S
34,28,35M 18S
34,30,35M 13S
34,32,34M 48S
37,32,34M 31S
38,32,33M 51S
40,32,33M 44S
40,34,33M 23S
43,34,33M 2S
43,36,32M 46S
45,36,32M 33S
45,37,32M 11S
47,37,32M 1S
47,39,31M 44S
48,39,31M 21S
48,41,31M 3S
51,41,30M 41S
51,43,30M 26S
52,43,30M 19S
55,43,29M 54S
55,45,28M 42S
55,46,28M 25S
57,46,28M 11S
57,48,27M 26S
59,48,27M 6S
59,49,26M 52S
59,52,26M 35S
60,52,26M 23S
61,52,26M 23S
61,54,25M 39S
64,54,25M 0S
64,57,24M 45S
67,57,24M 35S
68,57,24M 4S
69,57,24M 4S
69,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,63,23M 40S
69,65,23M 18S
72,65,23M 7S
72,66,22M 45S
72,67,22M 45S
72,69,21M 47S
72,72,20M 41S
75,72,19M 46S
75,74,19M 23S
77,74,18M 41S
77,77,18M 23S
78,77,17M 47S
80,77,17M 19S
80,80,17M 2S
82,80,16M 30S
84,80,16M 1S
85,80,15M 35S
86,80,15M 35S
86,82,15M 20S
89,82,14M 35S
89,85,14M 12S
91,85,13M 38S
91,88,13M 23S
94,88,12M 44S
94,91,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,93,11M 27S
94,95,10M 33S
97,95,10M 15S
99,95,9M 49S
99,98,9M 41S
100,98,9M 9S
101,98,9M 9S
103,98,8M 42S
105,98,8M 16S
105,100,7M 57S
107,100,7M 34S
109,100,6M 51S
111,100,6M 24S
111,102,6M 8S
113,102,5M 45S
113,103,5M 33S
113,104,5M 33S
115,104,5M 7S
115,105,5M 1S
115,106,5M 1S
116,106,4M 25S
117,106,4M 25S
117,108,4M 15S
117,111,3M 26S
120,111,3M 9S
121,111,2M 30S
122,111,2M 30S
122,113,2M 18S
122,114,1M 45S
122,115,1M 45S
122,117,34S
123,117,31S
Jump ball: I. Roby vs. C. Anthony (S. Gilgeous,Alexander gains possession),20S
123,120,5S
124,120,3S
124,122,1S
125,122,0S
End of 4th quarter,NA,0S
