Philadelphia,New York,time_rem
30-13,21-22,48M 0S
0,0,47M 43S
0,2,47M 17S
2,2,46M 13S
2,4,44M 59S
5,4,43M 38S
7,4,43M 21S
10,4,42M 59S
13,4,41M 59S
15,4,41M 33S
17,4,40M 59S
17,6,40M 32S
19,6,40M 14S
19,8,39M 55S
19,11,39M 36S
19,13,36M 52S
21,13,36M 40S
21,15,36M 29S
22,15,36M 14S
23,15,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,15,34M 58S
25,18,34M 33S
25,20,33M 56S
26,20,33M 42S
27,20,33M 42S
27,21,33M 30S
29,21,33M 3S
30,21,32M 34S
31,21,32M 19S
33,21,31M 51S
33,24,31M 38S
33,25,31M 13S
33,26,31M 13S
35,26,30M 51S
35,28,30M 39S
37,28,30M 25S
37,29,29M 42S
39,29,29M 18S
41,29,28M 33S
Jump ball: D. Green vs. J. Randle (T. Bradley gains possession),NA,27M 52S
43,29,27M 31S
43,32,27M 11S
43,33,26M 49S
43,34,26M 12S
43,35,26M 12S
43,38,25M 49S
43,39,24M 55S
43,40,24M 55S
43,42,24M 40S
Jump ball: J. Randle vs. D. Green (I. Quickley gains possession),NA,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,42,23M 45S
45,44,23M 29S
45,46,22M 23S
47,46,22M 8S
47,48,21M 56S
47,50,21M 14S
48,50,21M 1S
48,51,21M 1S
48,52,21M 1S
50,52,20M 46S
50,53,20M 19S
52,53,20M 8S
54,53,18M 28S
54,54,18M 11S
Jump ball: D. Green vs. R. Barrett (D. Howard gains possession),NA,17M 41S
54,56,16M 46S
54,58,16M 18S
54,60,15M 36S
56,60,15M 21S
57,60,15M 21S
57,62,15M 4S
60,62,13M 59S
60,64,13M 31S
62,64,13M 0S
64,64,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
67,64,11M 28S
67,66,11M 10S
69,66,10M 51S
69,68,10M 26S
72,68,10M 10S
74,68,9M 39S
74,70,9M 16S
75,70,8M 55S
75,73,7M 17S
76,73,6M 25S
79,73,5M 50S
79,75,5M 25S
81,75,5M 3S
81,78,4M 43S
82,78,4M 25S
83,78,4M 25S
83,80,3M 45S
83,82,2M 59S
86,82,1M 37S
86,85,1M 31S
88,85,19S
88,88,6S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: D. Howard vs. N. Noel (A. Burks gains possession),NA,5M 0S
88,91,4M 25S
91,91,4M 7S
91,93,3M 52S
94,93,3M 28S
96,93,2M 34S
96,95,2M 19S
96,97,1M 47S
96,100,1M 10S
99,100,56S
100,100,5S
101,100,5S
End of 1st overtime,NA,0S
