LA Lakers,Phoenix,time_rem
28-15,28-13,48M 0S
0,2,47M 49S
2,2,47M 33S
2,4,47M 12S
2,6,46M 39S
2,8,45M 18S
2,10,44M 55S
4,10,44M 42S
4,12,44M 22S
5,12,44M 8S
6,12,44M 8S
6,15,43M 59S
9,15,43M 33S
9,17,43M 17S
11,17,43M 6S
11,19,42M 49S
13,19,42M 4S
15,19,41M 31S
15,21,41M 13S
15,23,40M 53S
16,23,40M 4S
16,26,39M 17S
18,26,38M 42S
20,26,38M 28S
22,26,37M 56S
22,28,37M 34S
23,28,37M 26S
24,28,37M 26S
24,31,36M 19S
25,31,36M 4S
26,31,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,31,35M 43S
29,31,35M 19S
29,33,35M 5S
31,33,34M 53S
31,34,33M 7S
31,35,33M 7S
32,35,32M 59S
32,37,32M 25S
34,37,32M 4S
34,39,31M 47S
34,41,31M 15S
36,41,30M 51S
36,44,29M 44S
37,44,29M 0S
37,45,28M 49S
37,47,28M 30S
39,47,28M 11S
39,50,27M 57S
39,53,26M 54S
39,55,25M 41S
39,56,25M 16S
39,57,25M 16S
42,57,24M 58S
42,59,24M 49S
44,59,24M 36S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,59,23M 7S
49,59,22M 32S
49,60,22M 16S
49,61,22M 16S
52,61,21M 51S
52,63,21M 25S
52,64,20M 46S
52,65,20M 46S
52,67,20M 31S
52,68,20M 0S
54,68,19M 45S
54,70,19M 30S
56,70,19M 15S
57,70,19M 15S
57,72,19M 9S
60,72,18M 47S
62,72,18M 19S
62,73,18M 3S
62,74,18M 3S
62,76,17M 52S
64,76,17M 14S
64,78,16M 52S
66,78,16M 37S
68,78,15M 35S
68,79,14M 42S
68,80,14M 42S
70,80,14M 16S
71,80,14M 16S
71,83,13M 55S
73,83,13M 10S
73,86,12M 56S
75,86,12M 35S
76,86,12M 4S
76,87,12M 2S
76,88,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,90,11M 41S
77,90,11M 27S
78,90,11M 27S
78,92,11M 13S
79,92,10M 21S
80,92,10M 21S
82,92,10M 1S
84,92,9M 28S
84,93,9M 15S
84,94,9M 15S
86,94,7M 47S
86,96,7M 14S
88,96,7M 0S
89,96,6M 33S
89,98,6M 29S
89,101,5M 43S
89,103,4M 22S
91,103,3M 45S
91,105,2M 52S
91,107,2M 21S
93,107,2M 1S
93,109,1M 47S
93,111,1M 12S
94,111,37S
End of 4th quarter,NA,0S
