Atlanta,Toronto,time_rem
17-20,17-20,48M 0S
0,0,47M 45S
2,0,46M 42S
5,0,46M 38S
7,0,46M 9S
7,2,45M 55S
9,2,45M 42S
11,2,44M 15S
11,4,43M 56S
14,4,43M 54S
14,5,43M 15S
14,6,43M 15S
14,7,43M 1S
14,8,43M 1S
16,8,42M 44S
16,11,42M 33S
18,11,42M 3S
18,13,41M 45S
20,13,41M 27S
20,15,41M 6S
21,15,40M 50S
22,15,40M 50S
22,18,40M 34S
24,18,40M 16S
24,19,40M 5S
24,20,40M 5S
26,20,39M 11S
26,21,39M 5S
26,22,39M 5S
29,22,38M 51S
29,23,38M 40S
31,23,38M 18S
34,23,37M 55S
37,23,37M 34S
37,26,36M 53S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,29,35M 32S
40,29,35M 3S
42,29,34M 39S
45,29,34M 18S
48,29,33M 43S
48,31,33M 17S
48,34,32M 45S
48,36,32M 6S
48,39,31M 21S
48,41,31M 2S
50,41,30M 8S
50,43,29M 20S
51,43,28M 33S
51,44,28M 28S
51,45,28M 28S
51,47,28M 14S
52,47,28M 1S
53,47,28M 1S
55,47,27M 40S
56,47,26M 59S
57,47,26M 59S
57,48,26M 32S
57,51,26M 9S
59,51,25M 57S
59,53,25M 44S
59,55,25M 22S
60,55,25M 4S
61,55,25M 4S
61,57,24M 40S
62,57,24M 34S
63,57,24M 10S
64,57,24M 10S
64,59,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,59,23M 43S
68,59,23M 19S
68,62,23M 0S
68,64,21M 59S
68,66,20M 50S
71,66,20M 28S
71,69,20M 12S
73,69,19M 58S
73,71,19M 51S
Jump ball: A. Baynes vs. J. Collins (C. Boucher gains possession),NA,19M 33S
73,73,19M 19S
74,73,19M 5S
75,73,19M 5S
75,75,18M 11S
76,75,17M 57S
76,78,17M 43S
78,78,17M 18S
78,80,16M 27S
78,81,16M 27S
81,81,15M 56S
81,82,15M 32S
81,83,15M 32S
81,84,15M 32S
82,84,15M 15S
82,87,15M 6S
82,89,14M 11S
83,89,13M 36S
84,89,13M 36S
84,91,12M 52S
84,94,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,96,11M 24S
87,96,11M 13S
89,96,10M 15S
91,96,9M 54S
91,99,9M 38S
91,101,9M 20S
91,104,8M 47S
92,104,8M 2S
93,104,8M 2S
93,107,7M 16S
95,107,6M 54S
95,109,6M 35S
97,109,6M 26S
97,111,6M 13S
97,112,6M 13S
98,112,5M 56S
99,112,5M 56S
102,112,5M 28S
103,112,4M 50S
104,112,4M 50S
107,112,4M 14S
108,112,3M 29S
109,112,3M 29S
109,113,2M 25S
109,114,2M 25S
110,114,2M 14S
111,114,2M 14S
111,117,2M 1S
113,117,1M 31S
113,120,1M 12S
116,120,59S
118,120,49S
121,120,0S
End of 4th quarter,NA,0S
