New Orleans,Dallas,time_rem
11-14,13-14,48M 0S
0,0,47M 42S
2,0,46M 53S
2,3,46M 37S
2,4,46M 2S
2,5,46M 2S
4,5,45M 52S
7,5,45M 30S
7,8,44M 58S
9,8,44M 45S
9,11,44M 36S
11,11,44M 19S
11,14,44M 2S
11,15,43M 42S
11,16,43M 42S
14,16,43M 31S
14,18,43M 17S
16,18,42M 54S
16,21,42M 44S
18,21,42M 29S
21,21,41M 59S
23,21,41M 15S
25,21,40M 48S
25,24,40M 28S
27,24,39M 45S
27,25,39M 27S
27,27,38M 59S
30,27,38M 40S
32,27,38M 13S
34,27,36M 51S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,29,35M 41S
34,32,35M 6S
37,32,34M 30S
37,34,34M 12S
39,34,33M 53S
39,36,33M 38S
39,38,33M 14S
41,38,33M 1S
42,38,32M 36S
43,38,32M 36S
43,41,32M 23S
45,41,32M 4S
45,42,31M 57S
45,43,31M 57S
47,43,31M 40S
50,43,31M 20S
50,46,31M 4S
50,49,30M 24S
52,49,30M 8S
52,51,29M 46S
52,54,29M 9S
53,54,27M 34S
53,57,27M 18S
56,57,27M 3S
56,59,26M 45S
58,59,26M 14S
59,59,26M 14S
59,61,26M 6S
59,63,25M 39S
61,63,25M 26S
63,63,25M 6S
63,66,24M 40S
65,66,24M 25S
65,69,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,71,23M 38S
68,71,23M 18S
68,73,23M 0S
71,73,22M 48S
71,74,22M 36S
71,75,22M 36S
71,77,22M 1S
74,77,21M 45S
74,79,21M 5S
76,79,20M 46S
76,82,20M 27S
78,82,20M 10S
78,85,19M 57S
78,88,19M 28S
80,88,19M 11S
80,91,18M 54S
82,91,18M 18S
82,94,17M 16S
84,94,17M 1S
84,96,16M 43S
87,96,16M 21S
87,99,16M 0S
90,99,15M 48S
90,102,15M 36S
93,102,15M 19S
93,103,15M 2S
93,104,15M 2S
93,106,14M 33S
95,106,14M 10S
98,106,13M 6S
99,106,12M 41S
99,108,12M 31S
101,108,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
104,108,11M 15S
104,110,10M 57S
104,113,10M 20S
104,114,9M 37S
104,116,9M 3S
105,116,8M 50S
106,116,8M 50S
106,118,8M 41S
108,118,8M 19S
108,121,8M 2S
108,123,6M 57S
109,123,6M 38S
110,123,6M 38S
110,124,6M 16S
111,124,6M 10S
112,124,6M 10S
112,125,5M 55S
112,126,5M 55S
112,128,5M 20S
114,128,5M 7S
114,130,4M 18S
115,130,4M 9S
116,130,4M 9S
116,132,3M 49S
119,132,3M 5S
121,132,2M 32S
122,132,2M 32S
122,134,2M 24S
123,134,2M 10S
124,134,2M 10S
124,137,1M 47S
125,137,1M 41S
125,138,1M 28S
125,140,58S
127,140,51S
127,143,28S
130,143,20S
End of 4th quarter,NA,0S
