Philadelphia,Atlanta,time_rem
2-2,2-2,48M 0S
0,0,47M 47S
0,2,47M 3S
2,2,46M 2S
2,5,45M 34S
2,7,45M 0S
4,7,44M 52S
4,10,44M 36S
6,10,44M 1S
8,10,43M 33S
8,12,43M 12S
10,12,42M 59S
12,12,41M 22S
13,12,40M 28S
14,12,40M 28S
17,12,39M 15S
19,12,38M 49S
19,14,38M 30S
22,14,38M 6S
24,14,37M 37S
24,16,37M 22S
26,16,37M 3S
26,17,36M 47S
26,18,36M 47S
28,18,36M 38S
28,19,36M 30S
28,20,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,20,34M 26S
30,21,34M 19S
30,22,34M 19S
32,22,34M 4S
32,24,33M 15S
32,25,32M 35S
32,26,32M 35S
33,26,32M 13S
33,28,32M 3S
33,30,31M 30S
36,30,31M 9S
36,31,30M 42S
36,32,30M 42S
38,32,30M 35S
38,35,30M 19S
40,35,29M 57S
43,35,29M 24S
43,38,29M 12S
46,38,28M 56S
48,38,28M 25S
49,38,27M 57S
50,38,27M 57S
53,38,27M 34S
55,38,27M 6S
55,40,26M 51S
57,40,26M 27S
57,42,26M 8S
60,42,25M 43S
60,44,25M 12S
60,46,24M 35S
62,46,24M 27S
62,49,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,52,23M 26S
64,52,22M 46S
64,54,21M 50S
64,56,20M 34S
66,56,20M 9S
66,58,19M 38S
69,58,19M 17S
69,61,18M 54S
71,61,18M 37S
71,63,17M 34S
73,63,16M 50S
73,65,16M 38S
75,65,16M 28S
75,67,16M 12S
75,68,15M 24S
75,70,15M 2S
77,70,14M 47S
77,71,14M 38S
77,72,14M 38S
77,75,14M 16S
78,75,13M 30S
79,75,13M 30S
79,77,13M 19S
82,77,12M 40S
82,80,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,83,11M 45S
84,83,11M 12S
84,85,10M 48S
85,85,10M 33S
86,85,10M 33S
88,85,10M 12S
89,85,10M 12S
89,88,9M 35S
92,88,9M 16S
92,90,6M 26S
92,92,5M 54S
92,94,5M 15S
93,94,4M 11S
94,94,3M 23S
95,94,3M 23S
98,94,2M 44S
98,97,2M 15S
98,99,1M 17S
98,100,49S
98,101,49S
99,101,40S
100,101,40S
100,102,6S
100,103,6S
End of 4th quarter,NA,0S
