Phoenix,Philadelphia,time_rem
42-16,39-19,48M 0S
0,0,47M 47S
0,2,47M 37S
0,5,47M 13S
1,5,46M 50S
2,5,46M 50S
2,8,46M 14S
5,8,45M 47S
5,9,45M 13S
5,10,45M 13S
5,11,45M 13S
5,13,43M 52S
5,15,43M 19S
7,15,43M 9S
10,15,42M 25S
13,15,41M 39S
15,15,41M 15S
15,18,40M 56S
18,18,40M 41S
18,21,40M 19S
20,21,40M 4S
21,21,40M 4S
21,22,39M 45S
21,23,39M 45S
23,23,39M 28S
26,23,38M 36S
26,25,38M 14S
27,25,37M 56S
28,25,37M 56S
28,27,36M 55S
28,29,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,30,35M 32S
28,33,34M 58S
30,33,34M 44S
32,33,34M 11S
33,33,34M 11S
36,33,33M 22S
36,35,31M 39S
38,35,31M 16S
38,37,30M 59S
38,40,30M 23S
40,40,30M 8S
42,40,29M 35S
42,43,29M 8S
45,43,28M 53S
45,45,28M 23S
45,46,28M 23S
45,47,28M 3S
45,48,28M 3S
45,50,27M 27S
47,50,26M 55S
47,51,26M 15S
47,52,26M 15S
50,52,25M 56S
52,52,25M 18S
53,52,24M 43S
54,52,24M 43S
54,54,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,54,23M 49S
56,56,23M 16S
58,56,22M 55S
60,56,22M 27S
60,58,22M 6S
63,58,21M 27S
63,60,21M 6S
63,63,20M 43S
65,63,20M 25S
67,63,20M 8S
67,65,19M 41S
69,65,19M 0S
69,68,18M 40S
70,68,17M 40S
72,68,17M 25S
Jump ball: D. Ayton vs. J. Embiid (C. Payne gains possession),NA,16M 58S
72,70,16M 21S
75,70,15M 41S
75,72,15M 12S
76,72,14M 51S
77,72,14M 51S
77,74,13M 44S
77,75,13M 5S
77,76,13M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,78,11M 45S
78,78,11M 32S
79,78,11M 32S
79,81,11M 22S
82,81,10M 54S
85,81,10M 29S
85,83,10M 14S
87,83,9M 28S
87,85,9M 5S
87,86,9M 5S
88,86,9M 5S
91,86,8M 50S
91,88,8M 30S
91,89,8M 4S
91,90,8M 4S
93,90,7M 49S
93,92,7M 36S
95,92,7M 24S
95,94,7M 9S
98,94,7M 2S
101,94,6M 33S
102,94,5M 50S
103,94,5M 50S
103,96,5M 13S
105,96,4M 53S
105,99,4M 40S
107,99,4M 20S
107,100,3M 45S
107,101,3M 10S
109,101,2M 3S
109,103,1M 41S
109,105,1M 17S
111,105,59S
111,107,52S
113,107,13S
113,110,7S
114,110,5S
115,110,5S
115,113,2S
116,113,0S
End of 4th quarter,NA,0S
