Toronto,Indiana,time_rem
7-9,9-7,48M 0S
0,0,47M 38S
2,0,47M 20S
2,1,47M 4S
5,1,46M 44S
5,3,46M 31S
5,6,45M 53S
8,6,45M 14S
10,6,44M 49S
10,8,44M 35S
10,10,44M 14S
13,10,43M 52S
13,13,43M 33S
16,13,42M 50S
16,15,42M 35S
16,17,41M 22S
19,17,39M 50S
19,19,39M 34S
22,19,39M 17S
22,22,38M 55S
24,22,36M 39S
24,24,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,24,35M 39S
28,24,35M 1S
28,26,34M 40S
28,29,34M 22S
31,29,34M 8S
31,31,33M 21S
33,31,33M 10S
35,31,32M 33S
36,31,32M 33S
36,32,32M 17S
36,33,32M 17S
36,35,31M 54S
36,36,31M 14S
36,37,31M 14S
37,37,31M 1S
40,37,30M 32S
43,37,29M 55S
45,37,29M 28S
45,38,29M 14S
45,39,29M 14S
45,40,28M 30S
45,41,28M 30S
47,41,28M 19S
47,42,27M 16S
47,43,27M 16S
49,43,27M 4S
51,43,26M 47S
51,44,26M 36S
51,45,26M 36S
53,45,26M 26S
56,45,25M 54S
56,47,25M 29S
Jump ball: O. Anunoby vs. M. Brogdon (N. Powell gains possession),NA,24M 45S
57,47,24M 3S
58,47,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,50,22M 54S
59,50,22M 38S
60,50,22M 38S
60,53,22M 28S
63,53,21M 47S
Jump ball: D. Sabonis vs. F. VanVleet (D. McDermott gains possession),NA,21M 30S
63,54,21M 7S
63,55,21M 7S
65,55,20M 55S
65,58,20M 7S
67,58,19M 52S
69,58,19M 27S
71,58,18M 38S
71,60,18M 21S
73,60,17M 14S
73,62,17M 1S
75,62,16M 16S
75,64,15M 46S
75,67,13M 58S
77,67,13M 37S
77,69,13M 29S
Jump ball: C. Boucher vs. M. Brogdon (S. Johnson gains possession),NA,13M 4S
77,71,12M 29S
77,72,12M 29S
77,74,12M 1S
77,75,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,78,11M 23S
79,78,11M 8S
79,80,10M 51S
82,80,10M 28S
82,82,8M 52S
85,82,8M 16S
86,82,7M 56S
87,82,7M 56S
90,82,7M 16S
90,84,5M 57S
91,84,5M 47S
91,87,5M 23S
92,87,5M 13S
92,90,4M 56S
93,90,4M 18S
94,90,4M 18S
94,93,4M 6S
96,93,3M 46S
96,94,3M 26S
98,94,3M 5S
98,96,2M 8S
98,97,2M 8S
101,97,1M 51S
101,100,1M 40S
102,100,1M 21S
102,102,1M 9S
103,102,44S
104,102,18S
105,102,18S
106,102,3S
107,102,3S
End of 4th quarter,NA,0S
