New Orleans,Miami,time_rem
1-1,1-1,48M 0S
0,3,47M 43S
3,3,47M 17S
6,3,46M 44S
8,3,46M 20S
10,3,45M 28S
10,6,45M 16S
11,6,44M 42S
12,6,44M 42S
13,6,44M 42S
13,9,44M 21S
14,9,43M 30S
15,9,43M 30S
17,9,42M 5S
17,12,41M 48S
17,14,41M 12S
19,14,40M 52S
19,16,40M 30S
21,16,40M 16S
21,18,39M 40S
Jump ball: D. Robinson vs. S. Adams (P. Achiuwa gains possession),NA,38M 39S
21,20,38M 32S
21,23,37M 39S
22,23,37M 18S
23,23,37M 18S
24,23,37M 18S
24,26,37M 7S
26,26,36M 55S
26,29,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,29,35M 49S
28,32,35M 26S
28,33,35M 6S
28,34,35M 6S
28,36,34M 34S
28,38,34M 4S
28,40,33M 27S
30,40,33M 15S
30,43,32M 55S
32,43,32M 42S
32,45,32M 26S
32,46,32M 3S
32,47,32M 3S
32,50,31M 31S
32,52,30M 54S
35,52,29M 45S
35,55,29M 32S
35,56,29M 32S
36,56,29M 19S
36,58,29M 2S
37,58,28M 44S
38,58,28M 44S
38,61,28M 28S
40,61,28M 17S
41,61,28M 17S
43,61,27M 45S
46,61,27M 16S
46,64,26M 52S
47,64,25M 52S
48,64,25M 52S
50,64,25M 25S
53,64,24M 38S
53,65,24M 18S
53,66,24M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,68,23M 35S
53,70,22M 34S
53,72,22M 2S
54,72,21M 47S
55,72,21M 47S
56,72,21M 11S
57,72,21M 11S
57,73,20M 3S
57,74,20M 3S
59,74,19M 1S
61,74,18M 37S
61,76,17M 32S
62,76,17M 12S
63,76,17M 12S
63,78,16M 59S
64,78,16M 42S
64,79,16M 30S
66,79,16M 5S
68,79,15M 8S
70,79,14M 23S
70,80,13M 56S
70,81,13M 56S
70,83,13M 36S
73,83,13M 3S
73,86,12M 48S
75,86,12M 28S
76,86,12M 28S
76,87,12M 12S
76,88,12M 12S
79,88,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,90,11M 11S
82,90,10M 49S
82,91,10M 26S
85,91,7M 43S
85,92,6M 50S
85,93,6M 50S
Jump ball: B. Ingram vs. A. Bradley (P. Achiuwa gains possession),NA,6M 32S
85,96,6M 6S
86,96,5M 50S
87,96,5M 50S
87,99,5M 32S
87,101,4M 36S
87,102,4M 14S
88,102,3M 23S
88,104,3M 15S
88,106,2M 48S
88,107,2M 48S
90,107,2M 34S
90,109,2M 11S
92,109,1M 59S
95,109,1M 15S
95,111,33S
97,111,19S
98,111,19S
End of 4th quarter,NA,0S
