New Orleans,Atlanta,time_rem
22-28,27-24,48M 0S
2,0,47M 45S
2,3,47M 27S
4,3,47M 19S
4,6,46M 30S
7,6,46M 10S
8,6,45M 29S
9,6,45M 29S
11,6,45M 3S
11,8,44M 40S
11,10,44M 14S
11,13,43M 38S
13,13,43M 25S
13,15,42M 47S
16,15,42M 34S
16,17,42M 21S
19,17,42M 4S
19,19,40M 55S
19,20,39M 59S
19,21,39M 59S
21,21,39M 44S
23,21,39M 25S
23,23,39M 12S
25,23,38M 13S
26,23,37M 24S
27,23,37M 24S
27,25,37M 10S
28,25,36M 52S
29,25,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,25,35M 46S
31,27,35M 30S
33,27,35M 15S
34,27,34M 43S
35,27,34M 43S
37,27,34M 22S
37,29,34M 10S
40,29,34M 1S
42,29,33M 34S
42,31,33M 20S
42,33,32M 57S
42,34,32M 57S
45,34,32M 35S
45,37,32M 23S
46,37,32M 12S
48,37,31M 44S
48,39,31M 24S
48,41,30M 50S
48,44,30M 9S
48,47,29M 40S
50,47,29M 26S
51,47,28M 35S
52,47,28M 35S
52,50,28M 23S
52,52,28M 0S
52,54,27M 38S
52,57,26M 54S
55,57,26M 33S
56,57,26M 2S
56,58,25M 43S
56,59,25M 43S
56,60,25M 43S
57,60,25M 31S
58,60,25M 31S
60,60,25M 8S
60,61,24M 51S
61,61,24M 39S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,61,23M 5S
64,64,22M 48S
64,66,22M 16S
64,69,21M 50S
67,69,21M 39S
67,72,21M 18S
67,73,20M 57S
67,74,20M 57S
68,74,20M 48S
69,74,20M 48S
69,76,20M 31S
71,76,19M 56S
71,77,19M 34S
73,77,19M 24S
73,80,19M 5S
73,83,18M 36S
73,85,18M 1S
76,85,17M 44S
76,88,17M 28S
78,88,17M 15S
80,88,16M 59S
80,90,16M 38S
83,90,16M 20S
83,93,15M 54S
83,96,15M 28S
83,99,14M 58S
85,99,14M 15S
85,100,13M 58S
85,101,13M 58S
87,101,13M 45S
87,104,13M 27S
90,104,13M 3S
90,107,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,107,11M 47S
93,107,11M 10S
94,107,11M 10S
94,109,9M 58S
94,111,8M 26S
94,114,7M 37S
96,114,6M 43S
96,115,6M 24S
98,115,6M 3S
98,117,5M 9S
98,119,4M 33S
100,119,4M 22S
100,121,3M 20S
101,121,2M 41S
103,121,2M 14S
106,121,1M 18S
107,121,51S
107,122,36S
107,123,36S
End of 4th quarter,NA,0S
