LA Clippers,San Antonio,time_rem
29-16,22-19,48M 0S
0,0,47M 45S
2,0,47M 21S
Jump ball: K. Johnson vs. P. George (D. DeRozan gains possession),NA,46M 46S
5,0,46M 25S
8,0,45M 55S
8,2,45M 38S
11,2,45M 15S
11,5,44M 52S
11,7,44M 23S
14,7,44M 9S
16,7,43M 43S
19,7,43M 19S
19,9,42M 32S
20,9,42M 17S
21,9,42M 17S
23,9,41M 45S
23,11,41M 6S
23,13,40M 21S
26,13,40M 9S
28,13,39M 44S
28,14,39M 33S
28,15,39M 33S
30,15,39M 22S
31,15,39M 22S
32,15,38M 56S
33,15,38M 56S
33,18,38M 46S
36,18,38M 29S
36,21,38M 13S
38,21,37M 58S
38,23,37M 32S
38,25,36M 58S
38,27,36M 23S
38,29,36M 10S
40,29,36M 0S
41,29,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,32,35M 46S
43,32,35M 30S
43,34,35M 11S
45,34,34M 7S
45,35,33M 10S
45,37,32M 28S
47,37,32M 16S
47,39,31M 40S
48,39,31M 26S
48,40,30M 16S
48,41,30M 16S
49,41,29M 33S
49,44,29M 17S
51,44,28M 49S
53,44,28M 21S
53,46,27M 46S
56,46,27M 11S
56,48,26M 56S
58,48,26M 33S
60,48,25M 39S
60,50,25M 21S
60,52,24M 58S
60,53,24M 58S
62,53,24M 42S
65,53,24M 37S
67,53,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,55,23M 41S
67,57,22M 56S
69,57,22M 41S
71,57,22M 12S
72,57,22M 12S
72,59,21M 49S
74,59,21M 33S
77,59,20M 46S
77,60,20M 25S
77,61,20M 25S
77,62,20M 25S
77,64,19M 30S
78,64,19M 17S
79,64,19M 17S
79,66,18M 58S
81,66,18M 33S
81,68,18M 22S
82,68,18M 9S
85,68,17M 34S
85,70,17M 21S
87,70,17M 7S
88,70,16M 18S
89,70,16M 18S
89,72,16M 11S
89,73,16M 11S
90,73,15M 25S
91,73,15M 25S
91,74,15M 13S
91,75,15M 13S
94,75,15M 2S
94,77,14M 42S
95,77,14M 34S
96,77,14M 34S
96,80,14M 21S
96,82,13M 24S
98,82,13M 1S
98,84,12M 49S
100,84,12M 40S
102,84,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
103,84,10M 54S
103,85,10M 33S
105,85,9M 49S
105,88,9M 30S
107,88,9M 12S
109,88,8M 40S
111,88,8M 12S
111,90,7M 55S
114,90,7M 40S
114,92,7M 4S
116,92,6M 42S
118,92,6M 13S
118,94,5M 39S
121,94,5M 24S
123,94,5M 9S
126,94,3M 56S
126,95,3M 35S
126,96,3M 35S
126,97,3M 35S
129,97,3M 22S
129,99,1M 43S
132,99,1M 18S
134,99,34S
134,101,20S
End of 4th quarter,NA,0S
