Washington,Boston,time_rem
2-7,7-3,48M 0S
0,0,47M 49S
0,2,47M 11S
2,2,47M 3S
2,4,46M 15S
2,6,45M 7S
3,6,44M 50S
5,6,44M 31S
5,9,44M 20S
7,9,44M 10S
8,9,44M 10S
8,11,43M 49S
11,11,43M 16S
13,11,42M 44S
13,12,42M 42S
13,13,42M 42S
13,16,42M 21S
13,19,41M 23S
13,22,40M 45S
15,22,40M 32S
17,22,39M 32S
17,25,39M 9S
18,25,39M 0S
19,25,39M 0S
19,27,38M 49S
19,29,38M 34S
21,29,38M 23S
23,29,37M 44S
25,29,37M 13S
26,29,36M 55S
28,29,36M 49S
28,31,36M 39S
28,32,36M 0S
28,33,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,35,35M 28S
28,37,35M 0S
31,37,34M 36S
31,39,34M 18S
31,40,34M 6S
31,41,34M 6S
31,42,33M 11S
31,43,33M 11S
34,43,32M 54S
34,45,32M 38S
34,47,32M 8S
36,47,31M 56S
36,49,31M 41S
38,49,31M 12S
38,51,30M 59S
38,53,30M 15S
38,56,29M 58S
40,56,29M 7S
43,56,28M 27S
43,57,28M 10S
43,59,27M 45S
43,61,27M 11S
43,63,26M 42S
43,64,26M 42S
45,64,25M 43S
47,64,25M 22S
47,66,25M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,69,23M 33S
47,71,22M 40S
49,71,21M 48S
49,74,21M 30S
49,76,21M 0S
49,77,20M 28S
51,77,20M 21S
51,79,19M 52S
54,79,19M 28S
54,81,18M 38S
55,81,18M 32S
56,81,18M 32S
58,81,17M 50S
60,81,17M 27S
62,81,16M 56S
62,82,16M 41S
62,83,16M 41S
62,84,16M 41S
65,84,16M 31S
65,87,16M 17S
66,87,15M 42S
67,87,15M 42S
67,89,15M 24S
69,89,15M 7S
69,90,14M 50S
69,91,14M 50S
71,91,14M 19S
71,93,14M 6S
73,93,13M 52S
73,96,13M 28S
74,96,13M 20S
76,96,13M 4S
79,96,12M 36S
80,96,12M 9S
81,96,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,96,11M 13S
83,96,11M 13S
83,98,11M 3S
86,98,10M 54S
88,98,10M 26S
88,99,9M 33S
90,99,9M 7S
92,99,7M 59S
95,99,7M 36S
95,102,6M 45S
95,103,6M 6S
95,104,6M 6S
Jump ball: J. Brown vs. M. Wagner (T. Fall gains possession),NA,5M 32S
95,106,5M 12S
98,106,4M 5S
101,106,3M 9S
101,109,2M 8S
101,110,1M 31S
103,110,1M 18S
103,112,1M 4S
105,112,55S
105,114,43S
107,114,36S
107,115,23S
107,116,23S
End of 4th quarter,NA,0S
