Denver,Sacramento,time_rem
12-10,11-11,48M 0S
2,0,47M 45S
2,1,47M 21S
5,1,47M 5S
5,3,46M 40S
5,5,46M 7S
7,5,45M 32S
9,5,44M 44S
9,7,43M 35S
11,7,43M 23S
11,9,43M 11S
12,9,42M 58S
13,9,42M 58S
13,11,42M 40S
13,13,42M 12S
13,14,41M 35S
13,15,41M 35S
15,15,41M 13S
15,17,40M 54S
17,17,40M 39S
17,19,39M 52S
17,22,39M 18S
17,24,38M 12S
19,24,37M 58S
20,24,37M 39S
21,24,37M 39S
23,24,37M 0S
25,24,36M 42S
25,26,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,26,34M 58S
28,29,34M 35S
31,29,34M 16S
31,31,33M 53S
31,33,33M 23S
34,33,33M 14S
34,34,32M 58S
36,34,32M 6S
38,34,31M 44S
38,37,31M 28S
38,40,30M 36S
41,40,28M 57S
41,41,28M 32S
41,43,27M 49S
43,43,27M 34S
43,44,27M 18S
43,45,26M 52S
43,46,26M 52S
45,46,26M 36S
45,48,26M 14S
47,48,25M 11S
47,50,25M 2S
50,50,24M 43S
50,53,24M 31S
52,53,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,53,23M 22S
55,56,22M 19S
57,56,21M 55S
57,59,21M 38S
59,59,20M 54S
59,61,20M 39S
59,63,20M 0S
61,63,19M 41S
61,65,19M 28S
63,65,19M 7S
63,68,18M 54S
65,68,18M 35S
68,68,18M 8S
68,70,17M 48S
69,70,16M 55S
69,71,16M 37S
71,71,16M 16S
71,74,16M 4S
74,74,15M 18S
74,76,15M 8S
74,79,14M 41S
76,79,14M 23S
76,81,14M 13S
78,81,13M 23S
79,81,13M 23S
79,82,13M 12S
79,83,13M 12S
79,85,12M 42S
79,87,12M 20S
80,87,12M 4S
81,87,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,89,11M 28S
81,92,10M 51S
83,92,10M 41S
83,94,10M 23S
85,94,9M 51S
85,97,9M 40S
85,99,9M 12S
88,99,8M 5S
88,100,7M 53S
89,100,6M 40S
90,100,6M 40S
90,102,6M 0S
92,102,5M 38S
94,102,5M 9S
96,102,4M 27S
96,105,4M 1S
99,105,3M 14S
99,108,2M 42S
100,108,2M 15S
102,108,1M 50S
102,110,1M 26S
104,110,1M 9S
104,112,55S
107,112,50S
107,114,32S
110,114,30S
110,115,23S
112,115,10S
112,116,9S
112,117,9S
114,117,1S
114,118,0S
114,119,0S
End of 4th quarter,NA,0S
