LA Clippers,Oklahoma City,time_rem
47-25,22-50,48M 0S
0,0,47M 54S
0,2,47M 43S
0,4,47M 10S
0,7,46M 25S
3,7,46M 6S
3,9,44M 45S
5,9,44M 32S
5,12,44M 21S
5,14,43M 54S
8,14,43M 33S
8,16,43M 3S
8,18,42M 12S
10,18,41M 56S
10,21,41M 45S
10,23,41M 19S
13,23,41M 1S
16,23,40M 7S
16,26,39M 56S
18,26,39M 42S
18,28,39M 30S
18,30,39M 5S
20,30,38M 53S
22,30,38M 31S
22,33,38M 20S
24,33,37M 55S
26,33,37M 28S
26,35,37M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,35,35M 45S
28,35,35M 45S
30,35,35M 21S
30,37,35M 4S
32,37,34M 45S
32,39,34M 28S
34,39,34M 14S
34,41,34M 0S
36,41,33M 24S
38,41,32M 35S
39,41,32M 13S
39,43,31M 29S
40,43,31M 9S
40,44,31M 0S
40,46,30M 22S
41,46,30M 6S
42,46,30M 6S
42,48,29M 48S
45,48,29M 33S
45,49,29M 16S
45,50,29M 16S
47,50,29M 6S
47,52,28M 47S
48,52,28M 36S
51,52,28M 17S
51,54,27M 33S
52,54,27M 28S
53,54,27M 28S
55,54,26M 36S
57,54,26M 9S
57,56,25M 22S
57,58,24M 52S
57,60,24M 31S
60,60,24M 11S
60,62,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,62,23M 47S
64,62,23M 27S
64,63,23M 16S
64,65,22M 54S
66,65,22M 38S
69,65,21M 57S
71,65,21M 30S
71,67,20M 54S
Jump ball: M. Brown vs. D. Oturu (A. Pokusevski gains possession),NA,20M 26S
73,67,19M 49S
73,69,19M 29S
75,69,19M 5S
76,69,19M 5S
76,71,18M 48S
78,71,18M 7S
78,72,16M 40S
78,74,16M 9S
80,74,16M 0S
80,76,15M 51S
80,78,15M 24S
81,78,15M 7S
82,78,15M 7S
82,80,14M 52S
84,80,14M 29S
84,82,13M 31S
86,82,13M 11S
86,84,12M 53S
88,84,12M 43S
88,86,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,89,11M 47S
88,91,11M 7S
90,91,10M 37S
90,93,10M 29S
90,94,10M 29S
92,94,10M 18S
92,96,10M 3S
92,98,9M 38S
95,98,9M 24S
95,100,8M 43S
97,100,8M 26S
100,100,7M 56S
100,102,7M 31S
102,102,7M 5S
102,104,6M 45S
102,105,5M 37S
104,105,5M 3S
104,108,4M 37S
106,108,3M 36S
108,108,2M 42S
110,108,1M 58S
110,110,1M 46S
110,111,1M 10S
110,112,1M 10S
112,112,57S
112,115,48S
112,117,5S
End of 4th quarter,NA,0S
