Indiana,Golden State,time_rem
7-4,6-5,48M 0S
0,0,47M 45S
3,0,47M 12S
3,2,46M 57S
3,4,45M 50S
4,4,44M 36S
5,4,44M 36S
5,6,44M 15S
7,6,43M 23S
7,8,42M 33S
7,11,42M 3S
7,13,41M 36S
9,13,41M 11S
9,15,41M 8S
9,16,41M 8S
9,17,40M 36S
9,18,40M 36S
11,18,39M 39S
14,18,39M 7S
15,18,38M 37S
15,20,37M 56S
15,21,37M 56S
17,21,37M 28S
17,23,37M 12S
17,25,36M 53S
19,25,36M 38S
19,28,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,28,35M 41S
23,28,35M 7S
23,30,34M 54S
23,31,34M 54S
25,31,34M 21S
27,31,33M 22S
27,32,33M 2S
30,32,32M 51S
32,32,32M 17S
33,32,32M 3S
34,32,32M 3S
34,35,31M 47S
34,37,31M 0S
36,37,30M 40S
36,40,30M 20S
36,42,29M 54S
36,43,29M 23S
39,43,29M 8S
39,45,28M 44S
39,48,28M 14S
41,48,27M 33S
43,48,27M 6S
44,48,26M 17S
45,48,26M 17S
45,49,26M 4S
45,50,26M 4S
46,50,25M 50S
47,50,25M 50S
47,53,25M 39S
48,53,25M 10S
48,54,24M 54S
48,55,24M 54S
50,55,24M 30S
50,57,24M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,57,23M 12S
55,57,22M 32S
55,60,21M 53S
55,62,20M 52S
57,62,20M 1S
59,62,19M 28S
59,64,19M 9S
61,64,18M 31S
63,64,18M 11S
65,64,17M 49S
65,65,16M 56S
65,68,16M 28S
65,70,16M 4S
67,70,14M 38S
69,70,14M 13S
69,72,13M 55S
69,75,13M 33S
70,75,13M 5S
71,75,13M 5S
73,75,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,77,11M 3S
75,77,10M 3S
77,77,9M 35S
77,80,9M 22S
80,80,9M 4S
82,80,8M 32S
82,82,7M 20S
83,82,7M 6S
85,82,6M 40S
85,85,6M 17S
85,88,5M 45S
88,88,5M 25S
88,90,5M 5S
90,90,3M 37S
93,90,2M 59S
95,90,2M 34S
Jump ball: M. Turner vs. D. Green (D. Sabonis gains possession),NA,2M 24S
98,90,2M 5S
100,90,1M 33S
101,90,1M 18S
101,93,1M 14S
102,93,27S
102,94,24S
102,95,24S
Jump ball: M. Turner vs. D. Green (A. Holiday gains possession),NA,20S
103,95,10S
104,95,10S
End of 4th quarter,NA,0S
