Orlando,Atlanta,time_rem
18-40,32-26,48M 0S
0,0,47M 40S
3,0,47M 33S
3,2,47M 13S
5,2,46M 20S
7,2,45M 53S
9,2,45M 34S
9,4,45M 19S
9,5,44M 44S
11,5,43M 57S
11,8,43M 46S
13,8,43M 15S
13,11,42M 51S
14,11,42M 6S
15,11,42M 6S
15,13,41M 53S
18,13,41M 18S
18,15,40M 34S
18,17,40M 17S
18,18,39M 46S
18,19,39M 46S
20,19,39M 26S
23,19,38M 30S
23,21,38M 18S
23,24,37M 47S
24,24,36M 51S
24,25,36M 39S
24,26,36M 39S
24,27,36M 39S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,29,35M 31S
24,32,34M 37S
27,32,34M 18S
29,32,33M 24S
29,34,32M 45S
31,34,32M 21S
31,35,32M 10S
31,36,32M 10S
31,37,32M 10S
33,37,31M 57S
35,37,31M 39S
35,39,30M 56S
35,42,30M 35S
35,44,30M 12S
35,46,29M 46S
37,46,29M 37S
37,48,29M 1S
39,48,28M 36S
39,51,28M 25S
39,53,27M 50S
39,56,27M 23S
39,58,26M 31S
41,58,26M 9S
43,58,25M 45S
43,59,25M 30S
43,60,25M 30S
43,61,25M 30S
45,61,25M 7S
45,63,24M 51S
48,63,24M 6S
48,64,24M 3S
48,65,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,65,23M 9S
50,65,21M 21S
51,65,21M 21S
53,65,20M 11S
54,65,19M 53S
55,65,19M 53S
55,67,19M 41S
55,69,19M 21S
57,69,19M 7S
60,69,18M 45S
60,71,17M 50S
60,72,17M 50S
61,72,17M 41S
62,72,17M 41S
62,74,17M 24S
64,74,17M 1S
66,74,16M 35S
67,74,16M 35S
67,76,16M 25S
70,76,15M 30S
70,78,14M 40S
72,78,14M 23S
72,80,14M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,80,11M 39S
73,83,11M 31S
73,84,10M 59S
73,85,10M 59S
75,85,10M 27S
75,87,10M 3S
75,88,10M 3S
77,88,9M 34S
78,88,9M 34S
78,90,8M 57S
78,93,8M 26S
79,93,8M 14S
79,94,8M 5S
79,96,7M 34S
79,98,7M 8S
80,98,6M 32S
82,98,6M 12S
83,98,6M 12S
84,98,5M 49S
85,98,5M 49S
85,99,5M 34S
85,100,5M 34S
85,102,4M 46S
85,104,4M 14S
87,104,3M 18S
87,106,2M 53S
89,106,2M 30S
90,106,1M 50S
91,106,1M 50S
91,107,1M 39S
91,108,1M 39S
91,109,45S
91,110,45S
94,110,28S
94,112,15S
96,112,2S
End of 4th quarter,NA,0S
