Philadelphia,Miami,time_rem
47-23,39-31,48M 0S
0,0,47M 44S
2,0,47M 17S
2,2,46M 54S
3,2,46M 20S
4,2,46M 20S
6,2,45M 57S
6,4,45M 43S
6,6,45M 9S
6,9,44M 35S
8,9,44M 9S
8,11,43M 38S
8,12,42M 57S
8,13,42M 57S
10,13,42M 40S
10,15,42M 24S
10,17,41M 43S
12,17,41M 25S
12,19,41M 7S
12,20,41M 7S
14,20,40M 44S
14,23,39M 57S
15,23,39M 13S
16,23,39M 13S
16,26,39M 0S
16,29,38M 13S
16,31,37M 45S
18,31,37M 26S
18,33,37M 17S
20,33,36M 42S
20,34,36M 30S
20,35,36M 30S
20,36,36M 30S
20,38,36M 2S
21,38,36M 1S
22,38,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,40,35M 7S
24,40,34M 41S
24,43,34M 32S
25,43,34M 19S
26,43,34M 12S
27,43,34M 12S
27,46,33M 56S
29,46,33M 10S
29,48,32M 39S
31,48,29M 56S
31,50,29M 39S
31,53,29M 1S
33,53,28M 40S
36,53,28M 15S
38,53,27M 3S
38,55,26M 48S
38,58,26M 4S
41,58,25M 52S
41,60,25M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,60,23M 33S
43,63,22M 44S
46,63,22M 14S
46,65,21M 26S
47,65,21M 13S
47,67,20M 48S
49,67,20M 3S
49,69,19M 47S
52,69,19M 5S
52,71,18M 42S
54,71,18M 23S
54,73,18M 9S
56,73,17M 57S
56,76,17M 39S
58,76,17M 17S
58,79,17M 10S
58,82,16M 14S
61,82,15M 46S
61,84,15M 23S
63,84,14M 55S
64,84,14M 5S
65,84,14M 5S
65,85,13M 45S
65,86,13M 45S
67,86,13M 18S
67,89,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
67,91,11M 37S
67,93,11M 5S
68,93,10M 51S
70,93,10M 40S
71,93,10M 8S
71,95,9M 58S
73,95,8M 56S
73,96,7M 52S
73,97,7M 52S
75,97,7M 33S
77,97,6M 50S
79,97,6M 27S
79,99,5M 44S
81,99,5M 28S
82,99,5M 28S
82,101,5M 21S
82,102,5M 21S
82,104,4M 9S
84,104,3M 46S
87,104,2M 38S
89,104,2M 8S
89,106,1M 48S
91,106,1M 28S
94,106,25S
End of 4th quarter,NA,0S
