Utah,Philadelphia,time_rem
27-9,24-12,48M 0S
2,0,47M 39S
2,2,47M 19S
2,4,46M 56S
2,6,46M 23S
2,8,45M 44S
5,8,45M 15S
7,8,44M 59S
10,8,44M 38S
10,10,44M 25S
12,10,43M 26S
12,12,43M 8S
14,12,42M 46S
16,12,41M 1S
19,12,40M 26S
19,14,40M 9S
21,14,39M 51S
21,16,39M 35S
23,16,39M 23S
23,17,39M 1S
23,18,39M 1S
26,18,38M 46S
26,20,38M 23S
26,21,37M 57S
26,22,37M 57S
26,23,37M 57S
29,23,37M 40S
29,26,37M 24S
32,26,37M 5S
33,26,36M 43S
34,26,36M 43S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,26,35M 31S
36,28,35M 19S
38,28,34M 59S
38,30,34M 49S
40,30,33M 44S
43,30,33M 7S
43,32,32M 50S
45,32,32M 27S
45,33,31M 37S
46,33,31M 16S
46,35,31M 3S
46,37,30M 42S
46,39,30M 35S
49,39,30M 3S
49,41,29M 2S
49,42,28M 27S
52,42,28M 15S
52,44,27M 26S
52,45,27M 26S
52,47,27M 5S
54,47,26M 51S
55,47,25M 42S
57,47,25M 27S
57,49,25M 17S
57,50,25M 1S
60,50,24M 37S
60,52,24M 0S
61,52,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,54,23M 36S
62,54,23M 23S
63,54,23M 23S
63,56,22M 52S
63,58,22M 4S
65,58,21M 46S
65,59,21M 30S
65,61,21M 24S
68,61,21M 11S
69,61,20M 32S
72,61,20M 19S
72,63,20M 6S
72,64,20M 6S
72,65,19M 39S
72,66,19M 39S
72,69,19M 21S
75,69,18M 28S
75,72,17M 59S
78,72,17M 36S
78,73,17M 2S
78,75,16M 29S
80,75,16M 13S
81,75,16M 13S
83,75,15M 48S
86,75,14M 50S
86,77,14M 31S
86,79,13M 47S
86,80,13M 21S
86,81,13M 21S
88,81,13M 12S
89,81,13M 12S
89,82,13M 0S
89,83,12M 33S
89,84,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,84,11M 42S
92,86,11M 22S
92,89,10M 39S
92,90,10M 19S
92,92,10M 1S
92,95,8M 57S
94,95,8M 29S
94,97,8M 11S
96,97,7M 53S
98,97,7M 33S
101,97,7M 2S
101,99,6M 38S
103,99,6M 25S
103,101,6M 5S
106,101,5M 46S
106,104,5M 26S
106,107,3M 57S
109,107,3M 36S
109,109,3M 10S
112,109,2M 55S
114,109,2M 18S
114,111,2M 8S
114,112,1M 47S
114,113,1M 47S
116,113,1M 29S
116,115,23S
117,115,21S
118,115,21S
118,118,6S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: R. Gobert vs. J. Embiid (M. Conley gains possession),NA,5M 0S
119,118,4M 15S
120,118,4M 15S
120,120,4M 1S
120,122,3M 25S
123,122,2M 35S
123,124,2M 10S
123,126,1M 37S
123,127,57S
123,128,57S
123,129,30S
Jump ball: S. Milton vs. B. Bogdanović (T. Harris gains possession),NA,28S
123,130,27S
123,131,27S
End of 1st overtime,NA,0S
