Portland,Dallas,time_rem
16-10,13-15,48M 0S
0,0,47M 33S
0,2,47M 13S
2,2,46M 57S
5,2,46M 28S
5,4,46M 16S
5,6,45M 39S
7,6,45M 24S
9,6,44M 54S
11,6,44M 0S
11,8,43M 34S
14,8,43M 19S
14,10,43M 5S
17,10,42M 4S
19,10,41M 35S
19,11,41M 19S
19,12,41M 19S
19,14,40M 39S
22,14,40M 20S
24,14,39M 57S
24,16,39M 43S
Jump ball: E. Freedom vs. D. Finney,Smith (D. Lillard gains possession),39M 27S
27,16,39M 22S
27,18,39M 8S
27,19,39M 8S
29,19,38M 50S
29,21,37M 48S
32,21,37M 30S
32,23,36M 55S
32,24,36M 19S
32,25,36M 19S
34,25,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,27,35M 40S
36,27,34M 34S
36,30,34M 17S
Jump ball: J. Richardson vs. A. Simons (M. Kleber gains possession),NA,33M 6S
36,33,32M 49S
38,33,32M 28S
38,34,32M 11S
38,35,32M 11S
38,38,31M 40S
40,38,31M 20S
40,40,31M 6S
42,40,30M 53S
42,42,30M 22S
44,42,29M 33S
47,42,28M 47S
47,45,28M 19S
Jump ball: D. Finney,Smith vs. D. Lillard (T. Hardaway gains possession),27M 59S
47,47,27M 39S
49,47,27M 21S
49,48,26M 43S
49,49,26M 43S
51,49,26M 27S
52,49,26M 27S
54,49,25M 59S
54,50,25M 42S
54,51,25M 42S
54,54,25M 30S
54,57,24M 58S
54,58,24M 47S
55,58,24M 47S
55,61,24M 31S
58,61,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,64,23M 51S
60,64,23M 31S
60,67,22M 58S
63,67,22M 44S
63,68,22M 34S
63,69,22M 34S
64,69,22M 23S
65,69,22M 23S
67,69,21M 39S
67,70,21M 15S
70,70,20M 56S
73,70,20M 25S
73,72,19M 37S
76,72,19M 0S
78,72,18M 45S
79,72,18M 45S
81,72,18M 31S
81,75,18M 4S
84,75,17M 42S
84,78,17M 31S
85,78,17M 15S
85,81,16M 57S
88,81,16M 41S
88,84,16M 26S
90,84,16M 8S
90,85,15M 22S
90,86,15M 22S
91,86,15M 8S
92,86,15M 8S
93,86,15M 8S
96,86,14M 17S
98,86,13M 34S
100,86,13M 5S
100,88,12M 54S
100,89,12M 54S
103,89,12M 19S
103,91,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
103,93,11M 29S
106,93,11M 18S
106,95,11M 4S
107,95,10M 26S
107,97,9M 31S
108,97,8M 52S
110,97,8M 18S
110,99,7M 58S
112,99,6M 50S
112,100,6M 24S
112,101,6M 24S
112,103,4M 49S
112,105,3M 55S
112,107,3M 21S
112,109,2M 33S
112,110,1M 55S
112,111,1M 55S
114,111,1M 38S
114,112,1M 22S
114,113,1M 22S
115,113,1M 6S
116,113,1M 6S
116,116,49S
119,116,32S
119,118,26S
121,118,6S
End of 4th quarter,NA,0S
