Washington,Sacramento,time_rem
21-33,22-33,48M 0S
0,0,47M 41S
2,0,47M 9S
3,0,46M 23S
6,0,46M 8S
6,3,45M 57S
8,3,45M 43S
9,3,44M 57S
9,5,44M 38S
11,5,44M 30S
11,7,44M 15S
11,10,43M 57S
14,10,43M 40S
14,12,43M 25S
16,12,43M 15S
18,12,42M 57S
20,12,42M 20S
20,14,42M 7S
20,15,42M 7S
20,18,41M 46S
21,18,41M 34S
22,18,41M 34S
22,20,41M 19S
22,23,41M 0S
24,23,40M 44S
26,23,40M 18S
28,23,39M 41S
30,23,39M 13S
32,23,38M 51S
32,26,38M 28S
34,26,38M 23S
34,28,37M 52S
36,28,37M 33S
38,28,36M 43S
38,31,36M 35S
41,31,36M 29S
42,31,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
42,33,35M 45S
44,33,35M 5S
46,33,34M 28S
48,33,33M 37S
48,35,33M 24S
49,35,33M 12S
50,35,32M 50S
52,35,32M 32S
53,35,31M 59S
53,37,31M 43S
56,37,31M 28S
56,39,30M 45S
58,39,30M 33S
58,41,30M 23S
60,41,30M 11S
60,42,29M 57S
60,43,29M 57S
60,44,29M 21S
61,44,29M 12S
62,44,29M 12S
62,47,28M 18S
62,49,27M 50S
62,51,27M 28S
62,53,27M 6S
64,53,26M 51S
64,55,26M 35S
66,55,26M 22S
68,55,25M 22S
68,56,25M 9S
68,57,25M 9S
68,58,24M 55S
68,59,24M 12S
68,60,24M 12S
70,60,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
Jump ball: D. Jones vs. A. Len (M. Harkless gains possession),NA,23M 41S
70,62,23M 27S
70,63,22M 53S
70,64,22M 53S
72,64,22M 28S
74,64,21M 32S
76,64,21M 0S
76,67,20M 38S
78,67,19M 50S
78,69,19M 17S
79,69,19M 0S
80,69,19M 0S
80,70,18M 13S
82,70,17M 49S
82,72,17M 38S
82,74,17M 19S
82,76,17M 8S
83,76,16M 57S
84,76,16M 57S
84,78,16M 38S
86,78,16M 23S
88,78,15M 48S
88,80,15M 6S
88,81,14M 38S
91,81,14M 19S
91,83,13M 28S
93,83,13M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,83,11M 24S
95,85,11M 7S
96,85,11M 7S
98,85,10M 42S
100,85,10M 14S
100,87,10M 2S
101,87,10M 1S
102,87,9M 47S
102,88,9M 28S
102,89,9M 28S
102,91,9M 5S
104,91,8M 47S
107,91,8M 10S
107,92,7M 56S
107,93,7M 56S
110,93,7M 45S
110,96,7M 4S
110,98,5M 31S
112,98,5M 9S
112,100,4M 53S
112,102,3M 52S
112,103,3M 52S
114,103,3M 28S
115,103,3M 12S
116,103,3M 12S
118,103,2M 45S
118,105,2M 39S
118,107,2M 4S
118,109,1M 34S
120,109,1M 27S
121,109,1M 27S
121,111,1M 18S
122,111,1M 13S
123,111,1M 13S
End of 4th quarter,NA,0S
