Milwaukee,Golden State,time_rem
32-18,24-27,48M 0S
0,2,47M 44S
3,2,47M 26S
3,4,46M 50S
3,7,46M 33S
3,10,46M 7S
3,13,45M 31S
5,13,44M 9S
5,15,43M 59S
5,16,43M 59S
5,18,43M 36S
7,18,43M 22S
9,18,42M 58S
11,18,42M 35S
12,18,41M 43S
13,18,41M 43S
15,18,41M 17S
15,21,41M 4S
15,23,40M 25S
16,23,40M 15S
17,23,40M 15S
19,23,39M 57S
21,23,39M 0S
21,24,38M 35S
21,25,38M 35S
23,25,38M 20S
23,28,37M 57S
26,28,36M 47S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,28,35M 42S
28,30,34M 25S
30,30,34M 7S
32,30,33M 43S
33,30,33M 43S
36,30,32M 34S
36,32,32M 13S
36,35,31M 17S
37,35,30M 59S
37,37,30M 46S
37,40,30M 11S
39,40,29M 52S
39,42,29M 38S
39,43,29M 38S
39,45,28M 48S
42,45,27M 52S
42,47,27M 36S
42,49,27M 9S
44,49,26M 13S
46,49,25M 49S
46,51,25M 32S
46,53,25M 0S
48,53,24M 40S
50,53,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,54,23M 48S
52,54,23M 35S
55,54,23M 10S
57,54,21M 15S
57,56,21M 0S
58,56,20M 38S
59,56,20M 38S
59,57,20M 26S
59,58,20M 26S
61,58,20M 4S
64,58,19M 45S
66,58,19M 8S
67,58,18M 9S
67,61,17M 58S
69,61,17M 41S
70,61,17M 41S
70,63,17M 28S
72,63,17M 16S
73,63,17M 16S
73,66,16M 58S
74,66,16M 13S
75,66,16M 13S
75,68,15M 59S
77,68,15M 45S
79,68,15M 12S
79,71,15M 5S
82,71,14M 17S
82,73,14M 4S
85,73,13M 54S
85,75,13M 36S
85,76,13M 8S
85,77,13M 8S
85,80,12M 37S
87,80,12M 24S
88,80,12M 24S
88,83,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,83,11M 38S
90,85,11M 18S
93,85,10M 53S
93,87,10M 31S
95,87,9M 55S
95,89,9M 27S
98,89,9M 7S
98,90,8M 59S
98,91,8M 59S
99,91,8M 44S
100,91,8M 44S
100,93,7M 55S
103,93,7M 45S
103,95,7M 31S
105,95,7M 20S
105,97,7M 3S
105,99,6M 24S
107,99,6M 1S
107,101,5M 40S
110,101,5M 27S
110,102,5M 12S
110,103,5M 12S
113,103,4M 31S
113,106,4M 15S
116,106,4M 0S
116,109,3M 45S
116,111,3M 13S
116,114,2M 24S
117,114,2M 8S
117,116,1M 59S
117,118,1M 32S
117,120,1M 6S
118,120,1M 0S
119,120,1M 0S
121,120,30S
121,121,7S
121,122,7S
End of 4th quarter,NA,0S
