Miami,Minnesota,time_rem
28-28,15-42,48M 0S
0,0,47M 40S
0,1,47M 40S
0,2,47M 40S
1,2,47M 25S
2,2,47M 25S
2,4,47M 12S
4,4,46M 56S
6,4,46M 34S
7,4,46M 34S
9,4,44M 47S
11,4,44M 21S
13,4,43M 52S
13,6,43M 38S
15,6,43M 22S
15,9,42M 58S
17,9,42M 41S
17,12,42M 30S
20,12,42M 8S
20,15,41M 58S
23,15,40M 42S
23,18,40M 15S
25,18,39M 55S
26,18,39M 55S
28,18,39M 28S
28,21,39M 19S
28,23,38M 34S
29,23,38M 24S
29,25,37M 56S
31,25,37M 45S
34,25,37M 20S
34,26,37M 3S
35,26,36M 44S
36,26,36M 17S
37,26,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,29,35M 24S
37,31,34M 54S
37,32,34M 25S
37,34,33M 44S
38,34,33M 27S
39,34,33M 27S
39,37,33M 1S
39,39,32M 29S
41,39,32M 11S
41,41,31M 48S
41,44,30M 42S
41,46,29M 52S
44,46,29M 37S
45,46,29M 13S
47,46,28M 42S
49,46,28M 21S
49,48,28M 4S
49,51,27M 39S
49,53,27M 2S
52,53,26M 47S
52,55,26M 10S
52,56,26M 10S
55,56,25M 53S
55,58,25M 35S
58,58,25M 20S
58,61,24M 54S
61,61,24M 36S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,62,23M 30S
63,62,23M 12S
65,62,22M 44S
66,62,22M 44S
68,62,21M 26S
68,64,21M 7S
68,65,21M 7S
68,67,20M 48S
68,68,20M 48S
71,68,19M 54S
71,69,19M 37S
73,69,19M 17S
73,72,19M 3S
75,72,18M 48S
75,73,18M 29S
75,75,18M 18S
75,76,18M 18S
77,76,17M 54S
77,79,17M 27S
77,81,17M 1S
78,81,16M 54S
78,83,16M 40S
80,83,16M 18S
83,83,15M 35S
83,85,15M 15S
85,85,14M 12S
86,85,13M 55S
88,85,13M 42S
88,88,12M 30S
89,88,12M 28S
90,88,12M 28S
93,88,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,90,11M 47S
96,90,11M 25S
96,92,10M 45S
96,93,10M 0S
96,94,10M 0S
96,95,9M 25S
96,96,9M 23S
96,99,8M 19S
96,101,7M 50S
99,101,7M 32S
99,103,7M 15S
99,106,6M 43S
100,106,6M 18S
100,107,5M 40S
100,108,5M 40S
102,108,5M 25S
102,110,5M 5S
102,112,4M 33S
105,112,4M 20S
105,113,3M 31S
107,113,3M 14S
108,113,1M 51S
109,113,1M 51S
109,115,1M 32S
111,115,1M 23S
111,117,1M 6S
111,118,10S
111,119,10S
End of 4th quarter,NA,0S
