Detroit,New Orleans,time_rem
9-23,14-17,48M 0S
0,2,47M 43S
0,4,47M 9S
2,4,46M 49S
2,7,46M 34S
5,7,46M 15S
5,9,45M 33S
7,9,44M 38S
7,11,44M 21S
10,11,44M 8S
10,14,43M 58S
13,14,43M 41S
13,16,43M 24S
16,16,43M 14S
16,18,42M 22S
19,18,42M 7S
19,20,41M 27S
19,21,40M 47S
19,22,40M 47S
21,22,40M 36S
21,24,40M 10S
24,24,40M 1S
24,25,39M 17S
24,26,39M 17S
25,26,38M 34S
25,28,38M 23S
27,28,38M 12S
27,29,38M 3S
29,29,37M 50S
30,29,37M 50S
32,29,37M 33S
32,31,37M 23S
34,31,37M 13S
34,33,36M 50S
35,33,36M 41S
36,33,36M 41S
39,33,36M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,33,35M 15S
43,33,34M 33S
43,36,34M 19S
45,36,33M 31S
45,38,33M 17S
45,39,33M 17S
45,41,32M 57S
46,41,32M 45S
47,41,32M 45S
49,41,32M 16S
49,43,31M 54S
52,43,30M 56S
52,45,30M 43S
52,48,30M 22S
54,48,30M 0S
54,50,29M 39S
54,52,29M 2S
57,52,28M 46S
57,54,28M 24S
59,54,27M 47S
61,54,26M 28S
61,56,26M 15S
63,56,25M 57S
63,58,25M 46S
65,58,25M 31S
65,60,25M 13S
67,60,24M 54S
67,61,24M 27S
67,62,24M 27S
68,62,24M 6S
69,62,24M 6S
69,64,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,64,23M 34S
71,66,22M 46S
73,66,21M 48S
75,66,21M 29S
75,68,21M 13S
75,70,20M 36S
75,71,20M 36S
75,74,19M 47S
77,74,19M 29S
80,74,19M 3S
80,76,18M 45S
82,76,18M 26S
82,78,18M 16S
82,80,17M 45S
84,80,17M 34S
84,82,17M 11S
84,84,16M 48S
86,84,16M 30S
89,84,15M 51S
89,87,15M 31S
89,89,14M 57S
89,90,14M 24S
89,91,14M 24S
91,91,14M 12S
91,94,13M 17S
92,94,12M 56S
93,94,12M 56S
96,94,12M 24S
96,96,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,98,11M 44S
98,98,11M 21S
98,101,10M 51S
100,101,10M 9S
100,104,9M 58S
102,104,9M 10S
102,105,9M 1S
102,106,9M 1S
102,108,8M 5S
104,108,7M 39S
104,110,7M 21S
106,110,6M 26S
106,113,6M 10S
106,115,5M 44S
106,117,5M 11S
108,117,3M 51S
110,117,3M 12S
110,119,3M 0S
111,119,2M 43S
111,121,2M 15S
113,121,1M 7S
113,123,56S
113,124,45S
113,125,45S
115,125,36S
115,126,32S
115,127,15S
115,128,15S
118,128,8S
End of 4th quarter,NA,0S
