Philadelphia,Atlanta,time_rem
2-1,1-2,48M 0S
0,0,47M 39S
0,2,47M 25S
0,4,46M 36S
2,4,46M 13S
4,4,45M 45S
6,4,45M 21S
6,7,43M 51S
8,7,42M 56S
8,9,41M 45S
8,11,41M 14S
10,11,41M 1S
12,11,40M 42S
13,11,40M 7S
15,11,39M 38S
15,14,39M 28S
16,14,39M 19S
17,14,39M 19S
18,14,39M 19S
21,14,38M 43S
21,16,38M 23S
24,16,38M 7S
24,17,37M 56S
24,18,37M 56S
24,20,37M 13S
26,20,36M 31S
28,20,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,20,35M 42S
30,22,35M 17S
30,24,34M 47S
32,24,34M 24S
32,26,34M 10S
34,26,33M 38S
34,28,33M 21S
36,28,33M 8S
36,30,32M 57S
38,30,32M 40S
41,30,32M 18S
41,32,31M 56S
43,32,31M 37S
43,34,31M 20S
43,36,30M 48S
46,36,30M 30S
46,39,30M 10S
48,39,29M 46S
48,41,28M 56S
50,41,28M 36S
50,42,28M 25S
50,43,27M 42S
52,43,27M 22S
52,45,27M 8S
53,45,26M 52S
54,45,26M 52S
54,46,26M 39S
54,47,26M 39S
57,47,26M 23S
57,49,26M 11S
57,50,25M 35S
57,51,25M 35S
59,51,25M 5S
59,52,24M 49S
59,54,24M 29S
60,54,24M 7S
61,54,24M 7S
61,56,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,56,23M 34S
63,58,23M 7S
65,58,22M 54S
65,60,22M 35S
68,60,22M 16S
69,60,21M 46S
70,60,21M 46S
72,60,21M 15S
74,60,20M 19S
76,60,19M 37S
76,61,19M 24S
76,62,19M 24S
78,62,19M 11S
80,62,18M 41S
80,65,17M 40S
82,65,17M 20S
83,65,16M 57S
83,67,16M 41S
84,67,16M 12S
85,67,16M 12S
85,69,15M 49S
85,70,15M 30S
85,71,15M 30S
88,71,15M 18S
88,73,15M 6S
89,73,14M 20S
91,73,13M 14S
92,73,13M 2S
93,73,13M 2S
93,74,12M 11S
93,75,12M 11S
95,75,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,77,11M 45S
97,77,11M 28S
97,79,10M 36S
100,79,10M 5S
100,80,9M 57S
100,81,9M 57S
101,81,9M 42S
102,81,9M 42S
102,83,9M 31S
102,84,9M 31S
103,84,9M 16S
104,84,9M 16S
106,84,8M 50S
106,86,8M 30S
106,87,7M 56S
106,88,7M 56S
106,89,7M 56S
109,89,7M 4S
109,92,6M 49S
109,93,6M 7S
110,93,5M 50S
110,95,5M 39S
110,96,5M 13S
110,97,5M 13S
111,97,4M 57S
111,98,4M 26S
114,98,4M 8S
114,100,3M 48S
115,100,3M 27S
115,101,3M 23S
115,102,3M 23S
117,102,3M 10S
119,102,2M 47S
120,102,2M 23S
120,104,2M 10S
122,104,1M 52S
122,106,1M 44S
124,106,1M 34S
124,109,1M 26S
125,109,50S
125,111,35S
127,111,11S
End of 4th quarter,NA,0S
