Toronto,San Antonio,time_rem
0-2,2-0,48M 0S
0,0,47M 45S
2,0,47M 16S
2,2,46M 58S
5,2,46M 11S
7,2,45M 42S
7,5,45M 27S
9,5,45M 16S
9,7,44M 46S
11,7,44M 35S
14,7,44M 12S
17,7,43M 34S
17,9,43M 19S
19,9,43M 0S
19,12,42M 42S
21,12,42M 33S
21,14,42M 4S
23,14,41M 49S
23,16,41M 11S
26,16,41M 0S
26,19,40M 38S
26,20,39M 54S
26,21,39M 54S
28,21,39M 37S
28,23,39M 22S
30,23,39M 10S
32,23,38M 40S
32,26,38M 26S
34,26,37M 35S
35,26,37M 21S
35,28,36M 53S
36,28,36M 40S
37,28,36M 40S
37,30,36M 32S
37,31,36M 32S
39,31,36M 19S
39,33,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,33,35M 31S
41,35,35M 23S
41,38,34M 39S
44,38,34M 24S
44,41,33M 39S
47,41,33M 1S
47,44,32M 31S
49,44,32M 8S
49,46,31M 55S
49,48,29M 49S
50,48,29M 31S
50,50,28M 45S
50,52,28M 0S
50,54,27M 31S
50,56,26M 36S
52,56,26M 30S
52,58,26M 5S
53,58,25M 28S
54,58,25M 28S
56,58,25M 0S
56,61,24M 33S
58,61,24M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,61,23M 30S
60,61,23M 30S
62,61,23M 4S
62,64,22M 31S
62,66,21M 53S
65,66,21M 35S
67,66,21M 1S
69,66,20M 43S
70,66,20M 43S
73,66,20M 22S
73,69,20M 6S
75,69,19M 49S
75,71,19M 18S
75,73,18M 55S
77,73,18M 26S
77,75,18M 16S
77,76,18M 16S
77,77,17M 47S
80,77,17M 35S
80,79,17M 22S
80,82,15M 43S
80,84,15M 11S
82,84,14M 46S
82,86,14M 35S
84,86,14M 13S
85,86,13M 51S
85,88,12M 53S
86,88,12M 46S
86,89,12M 37S
86,91,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,94,11M 18S
89,94,11M 6S
89,96,10M 49S
92,96,10M 31S
94,96,9M 12S
94,98,8M 52S
96,98,8M 35S
96,99,7M 52S
96,101,7M 4S
99,101,6M 42S
101,101,6M 12S
103,101,5M 27S
103,103,5M 9S
106,103,4M 55S
106,106,4M 32S
109,106,4M 16S
109,108,4M 1S
111,108,3M 39S
111,110,3M 21S
114,110,2M 7S
114,113,1M 7S
114,115,29S
114,116,12S
114,117,12S
114,118,1S
114,119,1S
End of 4th quarter,NA,0S
