Atlanta,Toronto,time_rem
30-25,21-34,48M 0S
0,0,47M 48S
0,2,46M 53S
0,3,46M 38S
2,3,46M 8S
4,3,45M 55S
4,5,45M 38S
5,5,45M 17S
6,5,45M 17S
6,7,45M 6S
6,9,44M 27S
8,9,43M 43S
9,9,42M 36S
10,9,42M 36S
12,9,42M 21S
15,9,41M 44S
15,11,40M 40S
17,11,40M 15S
17,13,40M 3S
17,14,39M 34S
17,15,39M 34S
19,15,39M 25S
20,15,39M 25S
20,17,39M 11S
20,18,38M 57S
20,20,38M 24S
21,20,38M 17S
22,20,38M 17S
22,21,37M 56S
22,22,37M 56S
25,22,37M 41S
25,24,37M 14S
25,27,36M 34S
28,27,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,27,35M 6S
30,30,34M 49S
32,30,34M 29S
Jump ball: O. Okongwu vs. P. Siakam (S. Mays gains possession),NA,34M 13S
32,33,33M 54S
34,33,33M 36S
Jump ball: F. Gillespie vs. O. Okongwu (P. Siakam gains possession),NA,33M 15S
34,35,32M 40S
36,35,32M 29S
39,35,32M 5S
41,35,31M 4S
42,35,30M 41S
42,37,29M 52S
45,37,29M 32S
45,39,29M 21S
47,39,28M 51S
50,39,28M 29S
50,41,28M 10S
52,41,27M 54S
53,41,27M 28S
56,41,26M 49S
56,43,26M 39S
56,45,26M 28S
57,45,26M 13S
57,47,25M 58S
59,47,25M 41S
59,50,25M 29S
59,52,24M 54S
61,52,24M 37S
64,52,24M 7S
64,54,24M 0S
66,54,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,56,23M 16S
66,58,22M 43S
66,60,22M 17S
68,60,21M 34S
70,60,21M 6S
70,63,20M 44S
72,63,19M 55S
74,63,19M 1S
74,65,18M 22S
76,65,17M 59S
76,67,17M 42S
79,67,17M 29S
79,69,16M 42S
79,70,16M 42S
79,72,16M 16S
82,72,15M 49S
83,72,14M 31S
84,72,14M 31S
86,72,14M 11S
86,74,13M 51S
86,75,13M 26S
88,75,13M 3S
88,77,12M 52S
88,78,12M 52S
90,78,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,80,11M 30S
93,80,11M 16S
93,82,9M 40S
93,84,9M 11S
95,84,8M 14S
97,84,6M 53S
97,86,6M 40S
97,89,6M 20S
100,89,5M 14S
103,89,4M 8S
103,91,3M 45S
105,91,2M 38S
105,94,1M 40S
105,97,1M 12S
105,100,33S
105,103,19S
106,103,14S
107,103,14S
108,103,2S
End of 4th quarter,NA,0S
