Washington,Utah,time_rem
20-33,40-14,48M 0S
0,0,47M 46S
2,0,47M 41S
3,0,47M 41S
3,3,46M 57S
5,3,46M 40S
5,5,46M 11S
7,5,45M 53S
7,7,45M 40S
8,7,44M 58S
9,7,44M 58S
9,9,44M 46S
9,10,44M 29S
9,12,44M 6S
9,15,43M 43S
12,15,43M 18S
14,15,42M 14S
16,15,41M 56S
16,16,41M 39S
16,17,41M 39S
16,19,41M 14S
17,19,41M 2S
18,19,41M 2S
18,21,40M 44S
20,21,40M 33S
20,23,40M 18S
22,23,40M 6S
22,26,39M 55S
23,26,39M 37S
24,26,39M 37S
24,29,39M 29S
24,31,38M 55S
26,31,38M 40S
26,33,38M 25S
28,33,38M 11S
28,35,37M 53S
28,36,37M 23S
30,36,37M 3S
30,39,36M 48S
31,39,36M 39S
32,39,36M 39S
33,39,36M 39S
33,42,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,42,35M 51S
35,42,35M 51S
35,44,35M 31S
37,44,35M 13S
40,44,34M 43S
40,46,34M 26S
42,46,34M 13S
42,47,33M 19S
42,48,33M 19S
44,48,33M 5S
44,49,32M 44S
46,49,32M 14S
48,49,31M 50S
50,49,31M 23S
50,51,30M 31S
52,51,30M 15S
52,53,30M 0S
54,53,29M 51S
54,55,29M 40S
56,55,29M 21S
58,55,28M 55S
60,55,28M 3S
60,56,27M 52S
60,57,27M 52S
63,57,27M 40S
63,59,27M 22S
66,59,26M 12S
66,62,25M 52S
68,62,25M 16S
68,63,24M 39S
70,63,24M 27S
70,64,24M 1S
70,65,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,65,23M 40S
71,67,23M 27S
71,69,22M 57S
73,69,22M 44S
73,70,22M 0S
74,70,21M 27S
75,70,21M 27S
75,73,21M 20S
75,75,20M 51S
77,75,19M 33S
77,78,17M 55S
79,78,17M 30S
79,79,16M 41S
79,80,16M 41S
81,80,16M 29S
83,80,15M 44S
86,80,15M 23S
86,83,15M 6S
89,83,14M 6S
90,83,14M 6S
92,83,13M 50S
92,85,13M 33S
92,88,13M 4S
95,88,12M 52S
98,88,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,88,11M 26S
101,88,10M 53S
101,90,10M 32S
103,90,10M 16S
105,90,9M 28S
107,90,8M 41S
109,90,8M 23S
109,92,8M 5S
109,95,7M 25S
112,95,6M 59S
112,97,6M 50S
112,98,5M 54S
112,101,4M 51S
114,101,4M 30S
114,102,4M 18S
114,103,4M 18S
114,104,3M 38S
114,105,3M 38S
114,108,3M 18S
115,108,2M 49S
117,108,2M 35S
117,110,2M 16S
119,110,1M 26S
119,111,1M 24S
119,112,1M 24S
119,115,50S
121,115,32S
121,116,22S
121,117,22S
121,119,12S
122,119,11S
123,119,11S
124,119,6S
125,119,6S
125,121,1S
End of 4th quarter,NA,0S
