Toronto,Oklahoma City,time_rem
18-30,20-27,48M 0S
2,0,47M 33S
2,3,47M 19S
3,3,47M 7S
4,3,47M 7S
6,3,46M 38S
6,5,46M 22S
6,7,45M 53S
6,10,45M 31S
7,10,45M 23S
10,10,45M 6S
10,12,44M 46S
12,12,43M 40S
15,12,42M 59S
18,12,42M 41S
18,14,42M 22S
18,15,42M 22S
21,15,42M 10S
24,15,41M 47S
26,15,41M 30S
29,15,40M 53S
29,16,40M 24S
29,17,40M 24S
29,18,39M 56S
30,18,39M 41S
30,21,38M 29S
32,21,38M 11S
32,24,37M 30S
32,25,37M 6S
32,26,37M 6S
32,29,36M 41S
32,30,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,30,35M 44S
34,31,35M 36S
37,31,35M 19S
37,34,34M 43S
37,36,34M 7S
39,36,33M 52S
42,36,33M 13S
42,38,32M 25S
42,40,31M 57S
44,40,31M 42S
44,41,31M 10S
47,41,30M 59S
47,43,30M 36S
48,43,30M 24S
49,43,30M 24S
49,45,30M 8S
49,48,29M 31S
51,48,29M 16S
54,48,28M 26S
54,50,28M 10S
55,50,27M 56S
56,50,27M 56S
57,50,27M 56S
58,50,27M 43S
59,50,27M 43S
59,52,27M 30S
59,53,26M 54S
59,55,26M 53S
61,55,26M 9S
61,57,25M 45S
63,57,25M 32S
63,59,24M 54S
65,59,24M 45S
66,59,24M 6S
67,59,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,62,23M 32S
67,64,23M 2S
70,64,22M 22S
71,64,21M 58S
72,64,21M 58S
72,66,21M 45S
72,69,21M 8S
72,71,20M 20S
75,71,20M 6S
75,72,19M 56S
75,73,19M 56S
75,74,19M 21S
75,76,17M 59S
77,76,17M 36S
77,79,17M 19S
80,79,17M 6S
80,81,16M 51S
81,81,16M 42S
81,83,16M 6S
81,85,15M 17S
83,85,14M 39S
83,86,13M 30S
83,87,13M 30S
85,87,13M 19S
Jump ball: I. Roby vs. C. Boucher (T. Bradley gains possession),NA,12M 44S
86,87,12M 5S
89,87,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,90,11M 31S
91,90,11M 14S
91,92,10M 56S
93,92,10M 38S
93,93,9M 59S
93,94,9M 59S
93,96,8M 40S
93,98,8M 0S
93,101,6M 38S
96,101,6M 22S
96,104,5M 57S
98,104,5M 7S
100,104,4M 54S
100,106,2M 58S
100,109,2M 19S
103,109,2M 8S
103,110,56S
103,111,56S
103,112,27S
103,113,27S
End of 4th quarter,NA,0S
