Dallas,Philadelphia,time_rem
15-16,22-11,48M 0S
0,0,47M 46S
0,3,47M 6S
0,6,46M 41S
2,6,45M 44S
2,8,45M 30S
4,8,45M 0S
5,8,44M 29S
5,11,42M 20S
7,11,41M 23S
7,13,41M 4S
10,13,40M 52S
12,13,40M 21S
15,13,39M 52S
15,16,39M 24S
17,16,37M 58S
18,16,37M 58S
18,17,37M 4S
18,19,37M 2S
18,20,37M 2S
20,20,36M 49S
20,22,36M 35S
20,23,36M 35S
21,23,36M 26S
22,23,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,25,35M 36S
22,27,34M 16S
22,29,33M 46S
24,29,33M 36S
25,29,33M 36S
25,31,32M 54S
27,31,32M 5S
28,31,31M 35S
29,31,31M 35S
29,33,30M 57S
32,33,30M 23S
32,35,29M 59S
32,38,29M 28S
34,38,29M 9S
35,38,29M 9S
35,40,28M 49S
35,42,28M 19S
35,43,28M 19S
35,45,28M 1S
35,48,27M 30S
Jump ball: J. Embiid vs. B. Marjanović (B. Simmons gains possession),NA,27M 1S
35,49,26M 59S
35,50,26M 59S
35,52,25M 59S
37,52,25M 46S
37,55,25M 32S
37,57,24M 57S
40,57,24M 32S
40,58,24M 17S
40,59,24M 17S
43,59,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
46,59,23M 50S
46,60,23M 18S
46,61,23M 18S
48,61,22M 55S
51,61,22M 28S
51,62,21M 46S
51,63,21M 46S
54,63,20M 37S
54,64,20M 16S
56,64,19M 56S
56,65,19M 21S
56,66,19M 21S
56,69,18M 20S
59,69,18M 7S
62,69,17M 32S
62,70,16M 35S
62,71,16M 35S
62,73,15M 55S
63,73,15M 39S
63,75,15M 24S
66,75,15M 16S
66,77,15M 1S
66,78,14M 40S
66,79,14M 40S
68,79,13M 57S
68,81,13M 38S
68,84,13M 10S
68,86,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
68,88,11M 42S
70,88,10M 32S
70,91,9M 54S
71,91,9M 44S
72,91,9M 44S
72,92,9M 35S
72,93,9M 35S
74,93,9M 16S
75,93,9M 0S
76,93,9M 0S
76,95,8M 14S
76,98,7M 35S
76,100,7M 2S
76,102,6M 31S
78,102,5M 48S
81,102,5M 9S
81,104,4M 47S
83,104,4M 6S
86,104,3M 36S
86,106,3M 21S
88,106,2M 34S
89,106,2M 6S
90,106,2M 6S
92,106,1M 33S
93,106,1M 33S
93,108,1M 23S
94,108,1M 8S
95,108,1M 8S
95,111,56S
96,111,45S
97,111,45S
End of 4th quarter,NA,0S
