Sacramento,Golden State,time_rem
24-36,31-30,48M 0S
0,0,47M 42S
2,0,46M 55S
4,0,46M 30S
6,0,46M 6S
6,2,45M 54S
8,2,45M 43S
8,4,45M 15S
8,7,44M 54S
10,7,44M 35S
10,10,44M 6S
13,10,43M 41S
13,12,43M 30S
14,12,43M 20S
15,12,43M 20S
15,14,42M 56S
17,14,42M 47S
17,17,42M 32S
20,17,42M 9S
23,17,41M 34S
23,19,41M 21S
26,19,40M 57S
26,21,40M 40S
26,23,39M 31S
29,23,39M 16S
29,26,39M 5S
29,28,38M 38S
31,28,38M 14S
33,28,37M 41S
34,28,37M 41S
34,30,36M 55S
36,30,36M 44S
38,30,36M 16S
39,30,36M 16S
39,32,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,34,34M 21S
42,34,33M 3S
Jump ball: T. Davis vs. J. Poole (T. Davis gains possession),NA,32M 37S
42,37,32M 11S
44,37,30M 51S
44,39,30M 36S
45,39,30M 28S
48,39,30M 7S
48,41,29M 10S
48,43,28M 55S
50,43,28M 33S
50,44,28M 12S
50,46,27M 45S
52,46,27M 36S
52,47,27M 26S
52,48,27M 26S
53,48,27M 26S
53,49,27M 26S
53,52,26M 54S
56,52,26M 41S
56,54,26M 17S
56,57,25M 44S
58,57,25M 11S
60,57,24M 53S
60,59,24M 41S
60,60,24M 41S
62,60,24M 32S
62,63,24M 31S
65,63,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,63,23M 40S
68,66,23M 24S
68,68,22M 16S
71,68,22M 11S
74,68,21M 39S
74,71,21M 19S
74,73,20M 56S
74,76,20M 15S
76,76,19M 43S
76,78,19M 16S
76,80,18M 47S
78,80,18M 27S
Jump ball: D. Green vs. D. Jones (S. Curry gains possession),NA,17M 25S
78,82,17M 22S
81,82,17M 7S
81,85,16M 55S
81,87,16M 26S
83,87,15M 53S
83,89,15M 41S
84,89,15M 8S
85,89,15M 8S
85,91,14M 25S
87,91,14M 2S
89,91,13M 21S
89,94,13M 4S
91,94,12M 34S
92,94,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,94,11M 30S
94,94,11M 30S
95,94,10M 53S
96,94,10M 53S
96,95,10M 27S
98,95,10M 9S
98,98,9M 51S
99,98,9M 37S
100,98,9M 37S
101,98,9M 10S
104,98,8M 5S
104,100,7M 56S
104,102,7M 35S
104,103,5M 30S
106,103,5M 8S
106,105,4M 28S
107,105,4M 9S
107,107,3M 18S
109,107,2M 27S
109,109,2M 9S
109,110,2M 9S
111,110,1M 55S
111,112,1M 42S
111,114,1M 8S
113,114,18S
113,115,9S
113,116,0S
113,117,0S
End of 4th quarter,NA,0S
