Atlanta,Philadelphia,time_rem
1-1,1-1,48M 0S
0,2,47M 54S
2,2,47M 30S
2,4,47M 9S
2,6,46M 45S
2,8,45M 49S
2,10,45M 30S
2,12,44M 53S
4,12,44M 39S
4,14,43M 18S
4,16,42M 50S
4,18,42M 22S
4,20,41M 48S
6,20,41M 38S
6,23,41M 10S
8,23,40M 50S
10,23,40M 28S
10,26,40M 5S
10,28,39M 38S
13,28,39M 20S
15,28,38M 32S
15,29,37M 47S
16,29,37M 35S
17,29,37M 35S
17,31,37M 21S
20,31,36M 12S
20,33,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,33,35M 34S
25,33,34M 10S
25,35,33M 51S
27,35,33M 27S
29,35,33M 8S
30,35,32M 14S
31,35,32M 14S
33,35,31M 48S
33,37,30M 57S
35,37,30M 49S
35,39,30M 36S
35,41,30M 2S
35,44,29M 36S
35,46,28M 52S
37,46,28M 36S
39,46,28M 17S
40,46,28M 17S
40,48,28M 0S
40,51,27M 39S
42,51,26M 37S
45,51,25M 56S
45,54,25M 43S
47,54,25M 25S
47,57,25M 16S
49,57,25M 8S
52,57,24M 35S
55,57,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,59,23M 32S
57,59,23M 21S
59,59,22M 49S
59,61,22M 28S
59,63,21M 59S
59,66,21M 4S
61,66,20M 34S
61,68,20M 12S
63,68,20M 5S
63,70,19M 44S
63,73,19M 12S
65,73,18M 52S
65,74,18M 15S
65,75,18M 15S
67,75,18M 2S
68,75,18M 2S
68,76,17M 43S
68,77,17M 43S
70,77,17M 30S
72,77,16M 57S
72,79,16M 34S
75,79,16M 16S
78,79,15M 46S
79,79,14M 41S
80,79,14M 41S
80,82,14M 19S
80,84,13M 56S
82,84,13M 33S
82,85,12M 48S
82,86,12M 48S
82,87,12M 14S
82,88,12M 14S
83,88,12M 4S
84,88,12M 4S
84,91,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,93,11M 45S
84,95,11M 14S
84,97,10M 41S
84,99,10M 25S
84,102,9M 45S
85,102,9M 34S
86,102,9M 34S
86,103,9M 10S
86,104,9M 10S
88,104,8M 25S
88,107,8M 4S
89,107,7M 34S
89,109,6M 50S
89,110,6M 25S
90,110,6M 18S
91,110,6M 18S
94,110,5M 12S
94,112,4M 24S
97,112,4M 13S
97,113,3M 36S
97,114,3M 36S
97,116,2M 53S
100,116,2M 7S
100,118,1M 16S
102,118,31S
End of 4th quarter,NA,0S
