Chicago,New Orleans,time_rem
16-18,15-20,48M 0S
0,0,47M 47S
2,0,47M 7S
4,0,46M 40S
6,0,45M 57S
8,0,45M 40S
8,2,44M 53S
11,2,44M 5S
11,4,43M 25S
11,6,42M 55S
13,6,42M 32S
13,7,42M 22S
13,8,42M 22S
15,8,41M 45S
16,8,41M 45S
19,8,41M 24S
19,9,41M 11S
21,9,41M 3S
21,12,40M 52S
21,14,40M 22S
22,14,40M 8S
23,14,40M 8S
25,14,39M 27S
25,15,39M 15S
25,16,39M 15S
26,16,38M 42S
26,17,38M 30S
26,18,38M 30S
26,20,37M 40S
26,22,37M 21S
26,23,37M 21S
26,25,36M 53S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,27,35M 45S
28,27,35M 31S
28,29,35M 11S
28,30,34M 48S
28,31,34M 48S
30,31,33M 59S
33,31,33M 34S
33,33,32M 52S
35,33,32M 35S
35,35,31M 52S
37,35,31M 7S
37,37,30M 49S
39,37,30M 27S
42,37,29M 54S
42,39,29M 12S
44,39,28M 47S
44,41,28M 29S
47,41,28M 10S
50,41,27M 37S
51,41,27M 37S
51,42,27M 24S
51,43,27M 24S
53,43,27M 10S
55,43,26M 34S
55,45,26M 8S
57,45,25M 54S
58,45,25M 19S
59,45,25M 19S
61,45,24M 51S
62,45,24M 51S
63,45,24M 34S
64,45,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,47,23M 48S
64,49,23M 6S
64,50,23M 6S
64,52,22M 45S
66,52,22M 16S
66,54,22M 8S
68,54,21M 56S
70,54,21M 32S
72,54,21M 6S
72,56,20M 43S
72,58,20M 8S
72,60,19M 12S
75,60,19M 1S
77,60,18M 30S
79,60,17M 34S
Jump ball: W. Hernangómez vs. G. Temple (B. Ingram gains possession),NA,17M 15S
79,62,17M 4S
79,65,16M 30S
82,65,16M 14S
82,67,16M 0S
82,69,15M 34S
83,69,15M 23S
84,69,15M 23S
86,69,14M 53S
86,71,14M 41S
88,71,14M 27S
89,71,14M 27S
89,72,14M 16S
89,73,14M 16S
89,74,14M 16S
91,74,13M 56S
91,76,13M 42S
94,76,13M 20S
94,79,13M 4S
96,79,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,82,11M 36S
98,82,11M 16S
100,82,10M 45S
100,84,10M 5S
102,84,9M 48S
102,86,9M 35S
105,86,9M 16S
105,88,9M 4S
105,89,8M 47S
107,89,8M 24S
107,91,8M 12S
107,93,7M 35S
107,95,7M 8S
109,95,6M 52S
109,97,6M 28S
112,97,6M 3S
112,100,5M 52S
112,102,5M 30S
112,104,5M 1S
115,104,4M 44S
115,106,4M 25S
117,106,4M 2S
117,107,3M 55S
117,108,3M 55S
117,109,2M 43S
117,111,2M 13S
117,113,1M 49S
119,113,1M 5S
121,113,40S
121,114,35S
121,115,35S
121,116,35S
122,116,29S
122,118,20S
123,118,18S
124,118,18S
124,119,13S
124,120,13S
124,121,13S
125,121,9S
126,121,9S
126,124,3S
127,124,2S
128,124,2S
End of 4th quarter,NA,0S
