Miami,Charlotte,time_rem
22-24,23-21,48M 0S
0,3,47M 34S
0,5,46M 46S
0,7,45M 57S
3,7,45M 35S
5,7,45M 15S
5,8,44M 59S
5,11,44M 16S
5,14,43M 22S
7,14,42M 43S
7,16,42M 37S
10,16,42M 15S
10,18,41M 56S
10,20,41M 17S
10,21,41M 17S
12,21,41M 6S
12,24,40M 54S
15,24,40M 38S
15,27,39M 54S
15,29,39M 29S
18,29,39M 18S
18,32,37M 59S
21,32,37M 35S
21,34,36M 59S
21,37,36M 31S
23,37,36M 11S
23,40,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,43,35M 36S
23,46,35M 13S
26,46,34M 45S
26,47,34M 41S
26,48,34M 41S
26,51,33M 57S
29,51,33M 39S
31,51,33M 16S
31,53,32M 55S
31,55,32M 17S
31,56,32M 17S
31,59,31M 37S
31,60,31M 0S
31,61,31M 0S
33,61,30M 44S
33,62,30M 19S
33,63,30M 19S
35,63,30M 1S
35,65,29M 36S
37,65,29M 21S
40,65,28M 18S
40,68,28M 2S
42,68,27M 37S
43,68,27M 13S
45,68,26M 34S
47,68,25M 33S
48,68,25M 16S
48,70,25M 2S
48,71,24M 48S
48,72,24M 48S
49,72,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,75,23M 32S
52,75,23M 6S
52,77,22M 28S
53,77,21M 47S
Jump ball: P. Washington vs. T. Ariza (D. Graham gains possession),NA,21M 22S
53,80,20M 43S
56,80,20M 23S
56,83,20M 16S
58,83,19M 36S
58,86,19M 20S
61,86,18M 36S
63,86,17M 39S
64,86,17M 11S
66,86,16M 44S
69,86,16M 17S
69,88,15M 50S
71,88,15M 40S
74,88,15M 12S
74,90,14M 51S
74,92,14M 15S
75,92,13M 56S
76,92,12M 23S
77,92,12M 23S
78,92,12M 0S
79,92,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,94,11M 11S
81,94,10M 18S
83,94,9M 16S
83,96,7M 58S
83,98,7M 5S
83,100,6M 25S
86,100,5M 55S
86,102,5M 21S
88,102,4M 56S
88,105,4M 35S
90,105,4M 18S
92,105,3M 30S
94,105,2M 52S
Jump ball: B. Adebayo vs. G. Hayward (T. Herro gains possession),NA,2M 17S
96,105,2M 3S
98,105,1M 32S
100,105,1M 9S
100,107,43S
103,107,28S
103,108,10S
105,108,6S
105,109,2S
105,110,2S
End of 4th quarter,NA,0S
