San Antonio,Portland,time_rem
8-6,8-6,48M 0S
2,0,47M 44S
2,2,47M 30S
4,2,47M 11S
4,5,46M 51S
4,8,46M 27S
6,8,46M 10S
6,10,45M 28S
8,10,45M 14S
8,12,44M 55S
10,12,44M 23S
10,14,44M 6S
12,14,43M 25S
14,14,42M 14S
14,16,41M 25S
14,17,41M 25S
17,17,41M 8S
17,20,40M 44S
18,20,40M 28S
19,20,40M 28S
21,20,40M 5S
23,20,39M 17S
23,22,38M 59S
23,23,38M 27S
23,24,38M 27S
25,24,38M 12S
25,25,38M 0S
25,26,38M 0S
25,28,37M 31S
28,28,37M 16S
30,28,36M 51S
32,28,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,31,35M 38S
34,31,34M 36S
37,31,34M 2S
37,33,33M 47S
39,33,33M 26S
39,36,32M 22S
39,38,31M 39S
41,38,31M 22S
44,38,30M 43S
47,38,30M 16S
47,40,30M 0S
49,40,29M 43S
49,42,29M 19S
51,42,28M 40S
51,44,28M 23S
51,46,27M 57S
51,48,27M 11S
51,50,26M 34S
54,50,26M 12S
56,50,25M 37S
56,52,24M 50S
56,54,24M 14S
59,54,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,54,23M 31S
61,55,23M 19S
61,56,23M 19S
62,56,23M 10S
62,58,22M 27S
64,58,22M 10S
64,60,21M 47S
66,60,21M 32S
68,60,20M 29S
70,60,19M 57S
70,62,19M 39S
70,63,19M 39S
71,63,19M 28S
72,63,19M 28S
72,65,18M 27S
72,66,18M 8S
72,68,17M 54S
74,68,17M 43S
74,71,17M 8S
76,71,16M 55S
76,72,16M 43S
76,73,16M 43S
76,74,16M 43S
77,74,16M 11S
78,74,16M 11S
78,76,15M 52S
78,78,14M 58S
78,80,14M 24S
80,80,14M 7S
82,80,13M 35S
84,80,12M 56S
84,81,12M 37S
84,82,12M 37S
85,82,12M 23S
87,82,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,82,11M 48S
92,82,11M 4S
95,82,10M 31S
95,85,10M 10S
95,88,9M 28S
98,88,9M 14S
98,91,8M 56S
101,91,8M 32S
103,91,7M 31S
Jump ball: D. Vassell vs. E. Freedom (J. Poeltl gains possession),NA,7M 14S
106,91,7M 3S
108,91,6M 33S
108,93,6M 11S
108,96,5M 32S
110,96,5M 12S
110,98,4M 59S
110,99,4M 59S
113,99,4M 47S
116,99,4M 25S
116,101,4M 6S
117,101,3M 49S
118,101,3M 49S
121,101,3M 5S
121,103,2M 48S
122,103,2M 31S
123,103,2M 31S
124,103,1M 26S
125,103,1M 26S
125,104,28S
End of 4th quarter,NA,0S
