Washington,Portland,time_rem
10-17,18-11,48M 0S
2,0,47M 35S
2,3,47M 15S
4,3,46M 53S
6,3,46M 33S
6,5,45M 56S
8,5,45M 48S
8,6,45M 24S
8,7,45M 24S
11,7,45M 4S
11,9,44M 52S
11,12,44M 32S
14,12,44M 16S
16,12,43M 51S
16,13,43M 34S
17,13,43M 24S
17,15,43M 10S
17,18,42M 52S
17,20,42M 31S
19,20,42M 21S
19,22,42M 3S
21,22,41M 44S
21,25,41M 28S
21,27,41M 6S
23,27,40M 58S
23,30,40M 46S
25,30,40M 31S
27,30,40M 10S
27,32,39M 56S
29,32,39M 33S
29,33,38M 39S
29,36,38M 35S
29,37,38M 35S
29,40,37M 7S
29,43,36M 31S
30,43,36M 30S
31,43,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,45,35M 39S
33,45,35M 24S
35,45,35M 3S
38,45,34M 22S
40,45,33M 21S
41,45,33M 21S
43,45,33M 3S
43,48,32M 44S
43,50,32M 22S
44,50,30M 20S
45,50,30M 20S
47,50,30M 16S
48,50,30M 16S
48,52,29M 1S
50,52,28M 44S
50,53,28M 44S
52,53,28M 15S
53,53,27M 45S
54,53,27M 45S
56,53,27M 14S
56,54,26M 55S
58,54,26M 29S
59,54,25M 51S
59,55,24M 57S
61,55,24M 46S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,58,23M 47S
63,58,23M 27S
65,58,22M 52S
65,61,22M 34S
65,63,21M 15S
65,65,20M 49S
67,65,20M 36S
67,67,19M 52S
69,67,19M 29S
69,70,19M 12S
71,70,18M 53S
73,70,18M 19S
75,70,17M 21S
75,72,17M 0S
77,72,16M 40S
77,75,16M 21S
78,75,16M 6S
79,75,16M 6S
79,77,15M 51S
79,78,15M 42S
79,79,15M 42S
Jump ball: R. Lopez vs. C. Anthony (R. Hachimura gains possession),NA,15M 15S
79,82,14M 47S
82,82,14M 38S
82,85,14M 21S
84,85,14M 10S
85,85,13M 29S
86,85,13M 29S
86,86,12M 40S
86,87,12M 40S
86,88,12M 25S
86,89,12M 25S
88,89,12M 5S
89,89,12M 5S
89,92,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,93,11M 7S
90,93,9M 41S
91,93,9M 41S
93,93,9M 9S
93,96,8M 39S
95,96,8M 27S
97,96,7M 45S
100,96,6M 51S
100,98,6M 34S
102,98,6M 17S
103,98,5M 40S
103,101,4M 23S
105,101,3M 7S
107,101,2M 46S
110,101,2M 18S
110,102,2M 0S
110,103,2M 0S
110,104,2M 0S
112,104,1M 39S
114,104,1M 9S
114,107,1M 3S
115,107,26S
116,107,26S
116,109,21S
117,109,20S
118,109,20S
118,111,7S
End of 4th quarter,NA,0S
