Detroit,Boston,time_rem
7-19,13-12,48M 0S
0,3,47M 35S
0,5,47M 0S
0,6,47M 0S
0,7,46M 29S
2,7,45M 59S
2,8,45M 46S
2,10,45M 21S
2,12,44M 41S
4,12,44M 30S
4,14,43M 48S
5,14,43M 37S
7,14,42M 4S
7,16,41M 36S
9,16,41M 16S
9,18,40M 42S
11,18,40M 28S
12,18,40M 28S
15,18,39M 50S
17,18,39M 25S
20,18,38M 14S
20,21,37M 49S
21,21,37M 34S
22,21,37M 34S
22,23,37M 18S
25,23,36M 58S
27,23,36M 38S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,25,35M 30S
27,26,34M 59S
27,27,34M 47S
27,28,34M 47S
27,30,33M 56S
28,30,32M 17S
28,31,32M 5S
31,31,31M 51S
33,31,31M 18S
33,33,31M 0S
35,33,30M 56S
36,33,30M 56S
36,35,30M 7S
39,35,29M 30S
42,35,28M 57S
42,37,28M 41S
45,37,27M 37S
45,39,27M 14S
46,39,27M 0S
47,39,27M 0S
49,39,26M 35S
50,39,26M 35S
50,41,26M 22S
50,43,25M 33S
50,46,25M 8S
51,46,24M 41S
52,46,24M 41S
52,47,24M 37S
53,47,24M 31S
54,47,24M 31S
54,50,24M 28S
54,52,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,52,23M 45S
59,52,23M 15S
59,53,22M 50S
59,54,22M 50S
59,57,22M 22S
59,59,21M 42S
60,59,21M 14S
60,61,20M 47S
62,61,19M 55S
62,62,19M 40S
65,62,19M 19S
65,65,18M 50S
67,65,18M 38S
70,65,17M 11S
72,65,16M 25S
72,67,16M 0S
75,67,15M 40S
75,69,14M 49S
77,69,14M 11S
79,69,13M 35S
82,69,13M 3S
82,72,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,72,10M 43S
85,74,10M 13S
85,76,9M 40S
87,76,9M 16S
87,78,8M 31S
87,79,8M 17S
87,80,7M 43S
87,82,7M 38S
88,82,7M 26S
89,82,7M 26S
89,84,7M 13S
90,84,6M 57S
91,84,6M 57S
93,84,6M 35S
93,87,6M 12S
95,87,5M 10S
95,89,3M 43S
95,90,3M 22S
95,91,3M 22S
95,92,2M 10S
95,93,2M 10S
98,93,1M 52S
98,95,1M 44S
101,95,38S
101,96,36S
102,96,25S
103,96,25S
103,97,19S
103,98,19S
104,98,16S
104,100,9S
105,100,5S
105,101,5S
105,102,5S
106,102,5S
107,102,4S
108,102,4S
End of 4th quarter,NA,0S
