Miami,New Orleans,time_rem
18-18,15-21,48M 0S
0,0,47M 47S
0,2,46M 57S
3,2,46M 42S
3,4,46M 21S
6,4,46M 10S
8,4,45M 34S
11,4,45M 6S
11,7,44M 55S
13,7,44M 41S
14,7,43M 33S
15,7,43M 33S
15,9,43M 24S
17,9,42M 43S
17,11,42M 18S
20,11,42M 7S
21,11,41M 5S
22,11,41M 5S
22,13,40M 36S
24,13,40M 14S
24,15,39M 33S
26,15,38M 39S
29,15,37M 54S
31,15,37M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,17,34M 47S
31,20,34M 5S
33,20,33M 42S
35,20,32M 56S
37,20,32M 12S
37,22,31M 51S
39,22,31M 29S
39,24,31M 18S
39,26,30M 59S
41,26,30M 20S
41,28,30M 3S
43,28,29M 37S
43,30,29M 24S
45,30,29M 8S
45,32,28M 45S
45,34,28M 20S
46,34,28M 5S
46,37,27M 19S
48,37,26M 52S
48,38,26M 28S
48,39,26M 28S
48,40,26M 28S
50,40,25M 5S
50,42,24M 55S
53,42,24M 48S
53,45,24M 33S
54,45,24M 3S
55,45,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,45,23M 36S
57,48,23M 18S
57,49,22M 48S
60,49,22M 26S
60,50,22M 10S
60,51,22M 10S
60,52,22M 10S
60,55,21M 36S
62,55,20M 56S
63,55,19M 59S
64,55,19M 59S
66,55,19M 22S
66,57,18M 39S
66,58,18M 39S
68,58,18M 15S
69,58,17M 27S
70,58,17M 27S
70,59,16M 39S
70,60,16M 39S
72,60,16M 20S
72,62,16M 13S
72,63,16M 13S
72,65,15M 39S
73,65,13M 51S
74,65,13M 51S
75,65,12M 40S
75,66,12M 20S
75,67,12M 20S
77,67,12M 3S
77,70,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,73,11M 43S
80,73,10M 52S
80,76,10M 34S
83,76,9M 39S
83,78,9M 23S
85,78,9M 2S
85,80,8M 39S
86,80,8M 20S
87,80,8M 20S
87,83,7M 16S
87,85,6M 26S
89,85,5M 58S
91,85,5M 18S
91,87,4M 48S
Jump ball: K. Olynyk vs. J. Hart (T. Herro gains possession),NA,4M 20S
92,87,4M 12S
94,87,3M 25S
95,87,3M 25S
98,87,2M 50S
98,88,2M 26S
99,88,2M 24S
99,91,1M 37S
99,92,1M 0S
99,93,1M 0S
101,93,39S
102,93,25S
103,93,25S
End of 4th quarter,NA,0S
