Houston,Atlanta,time_rem
17-55,41-31,48M 0S
2,0,47M 47S
2,2,47M 33S
2,4,47M 7S
2,5,47M 7S
2,7,46M 31S
4,7,46M 14S
4,9,45M 49S
5,9,45M 42S
6,9,45M 42S
6,11,45M 34S
6,12,45M 0S
6,13,45M 0S
9,13,44M 43S
9,15,44M 29S
11,15,44M 17S
14,15,44M 1S
15,15,43M 40S
16,15,43M 40S
16,16,42M 57S
16,17,42M 57S
18,17,42M 25S
18,19,41M 49S
18,20,41M 26S
19,20,41M 16S
20,20,41M 16S
23,20,40M 52S
23,22,40M 26S
23,24,40M 8S
23,26,39M 32S
23,27,39M 17S
23,28,39M 17S
23,30,38M 37S
25,30,38M 26S
25,32,38M 4S
25,34,37M 35S
28,34,37M 11S
30,34,36M 52S
33,34,36M 30S
33,36,36M 19S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,38,34M 39S
33,40,33M 48S
36,40,33M 32S
36,42,32M 43S
39,42,32M 16S
39,44,31M 59S
39,45,31M 59S
41,45,31M 41S
41,47,31M 36S
41,49,30M 29S
41,50,30M 8S
41,51,30M 8S
43,51,29M 26S
43,53,29M 8S
44,53,28M 50S
45,53,28M 50S
45,54,28M 41S
45,57,28M 37S
45,60,28M 5S
48,60,27M 57S
48,61,27M 13S
48,62,27M 13S
50,62,26M 52S
50,64,26M 43S
51,64,26M 21S
52,64,26M 21S
Jump ball: K. Olynyk vs. O. Okongwu (C. Reynolds gains possession),NA,26M 5S
52,66,25M 48S
53,66,25M 42S
54,66,25M 42S
54,68,25M 34S
54,69,24M 56S
54,72,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,74,23M 26S
55,74,23M 7S
56,74,23M 7S
59,74,22M 40S
61,74,21M 43S
61,75,21M 26S
64,75,21M 1S
Jump ball: D. Hunter vs. K. Martin (T. Snell gains possession),NA,20M 32S
64,77,20M 20S
64,79,19M 53S
64,81,18M 12S
66,81,17M 58S
69,81,17M 30S
69,84,17M 18S
69,86,16M 38S
69,88,16M 4S
69,90,15M 32S
Jump ball: B. Fernando vs. K. Martin (S. Hill gains possession),NA,15M 2S
69,92,14M 42S
72,92,14M 27S
72,94,13M 59S
72,96,13M 17S
72,97,12M 36S
72,98,12M 36S
72,99,12M 36S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,99,11M 44S
75,101,11M 4S
77,101,9M 51S
79,101,8M 48S
79,104,7M 48S
79,106,7M 16S
79,108,7M 3S
80,108,6M 57S
80,111,6M 8S
83,111,5M 51S
83,113,5M 9S
86,113,4M 55S
89,113,4M 22S
89,115,3M 20S
92,115,3M 4S
92,117,2M 5S
92,120,1M 48S
92,122,1M 4S
95,122,41S
95,124,18S
End of 4th quarter,NA,0S
