Chicago,Orlando,time_rem
9-13,9-15,48M 0S
0,0,47M 48S
0,1,47M 11S
0,2,47M 11S
2,2,46M 58S
5,2,46M 31S
5,4,46M 12S
5,5,45M 58S
5,6,45M 58S
7,6,45M 42S
7,8,45M 27S
9,8,45M 15S
9,9,44M 53S
9,10,44M 53S
9,13,44M 26S
11,13,43M 43S
13,13,43M 20S
14,13,43M 20S
16,13,42M 42S
17,13,42M 42S
19,13,42M 14S
19,15,42M 0S
19,17,41M 35S
22,17,41M 16S
22,20,40M 55S
24,20,40M 3S
26,20,39M 39S
26,22,39M 23S
26,23,38M 57S
26,24,38M 57S
26,26,38M 35S
29,26,38M 22S
29,29,38M 5S
30,29,37M 18S
31,29,37M 18S
31,31,36M 54S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,31,35M 47S
34,33,35M 22S
36,33,35M 6S
36,35,33M 54S
38,35,33M 13S
40,35,32M 19S
42,35,31M 49S
45,35,31M 13S
45,37,30M 16S
47,37,30M 0S
49,37,29M 22S
51,37,28M 21S
51,39,28M 6S
51,41,27M 35S
54,41,26M 9S
56,41,25M 41S
56,42,25M 20S
56,43,25M 20S
59,43,24M 30S
61,43,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,43,23M 42S
65,43,22M 42S
65,45,22M 23S
66,45,22M 13S
67,45,22M 13S
69,45,21M 34S
69,47,21M 24S
69,49,20M 55S
71,49,20M 28S
74,49,20M 10S
76,49,19M 13S
78,49,18M 52S
79,49,18M 52S
82,49,18M 27S
82,51,17M 51S
84,51,17M 37S
84,54,17M 17S
84,57,16M 49S
87,57,16M 32S
87,60,16M 11S
89,60,15M 47S
92,60,15M 14S
92,62,15M 1S
93,62,13M 26S
95,62,13M 1S
95,64,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,66,11M 26S
95,68,10M 27S
98,68,10M 8S
98,70,9M 49S
98,72,9M 10S
98,74,8M 29S
100,74,8M 14S
100,76,7M 46S
100,78,7M 25S
100,80,6M 36S
102,80,6M 27S
102,82,5M 27S
102,83,5M 2S
102,84,5M 2S
105,84,4M 52S
105,86,4M 32S
107,86,3M 57S
108,86,3M 57S
108,88,3M 35S
111,88,3M 21S
113,88,2M 36S
113,90,2M 9S
116,90,1M 52S
116,92,37S
118,92,19S
End of 4th quarter,NA,0S
