Indiana,Washington,time_rem
NA,NA,48M 0S
0,0,47M 47S
0,3,47M 14S
0,5,45M 38S
2,5,45M 25S
4,5,44M 41S
4,8,44M 27S
7,8,43M 57S
7,10,43M 45S
10,10,43M 32S
10,12,43M 18S
12,12,43M 7S
14,12,42M 32S
14,14,42M 19S
14,16,41M 57S
17,16,41M 39S
19,16,41M 8S
19,19,40M 46S
21,19,40M 30S
21,22,40M 19S
21,24,39M 55S
24,24,39M 6S
27,24,38M 39S
27,26,37M 41S
27,28,37M 23S
27,29,37M 2S
27,30,37M 2S
29,30,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,32,35M 27S
29,34,35M 2S
31,34,34M 46S
34,34,34M 22S
34,36,34M 12S
34,37,33M 59S
34,38,33M 59S
34,40,33M 40S
34,42,33M 13S
34,44,32M 41S
34,46,32M 18S
34,48,31M 40S
34,50,30M 49S
36,50,30M 32S
39,50,30M 0S
39,52,29M 44S
39,53,29M 44S
41,53,29M 19S
41,55,28M 12S
41,57,27M 34S
43,57,27M 26S
43,58,27M 14S
43,59,27M 14S
44,59,26M 47S
46,59,26M 24S
46,61,26M 9S
46,62,25M 55S
48,62,25M 40S
48,64,25M 27S
50,64,25M 0S
50,66,24M 47S
52,66,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,68,23M 25S
54,68,22M 56S
54,69,22M 41S
54,70,22M 41S
54,72,22M 4S
57,72,21M 49S
57,74,21M 37S
57,76,21M 22S
60,76,20M 18S
60,78,20M 0S
62,78,19M 47S
62,81,19M 6S
63,81,18M 58S
64,81,18M 58S
64,84,18M 46S
64,85,18M 34S
66,85,18M 22S
66,87,18M 10S
66,88,18M 10S
66,91,17M 42S
66,92,17M 3S
66,93,17M 3S
68,93,16M 47S
68,94,16M 33S
68,95,16M 33S
68,98,16M 7S
71,98,15M 56S
73,98,15M 51S
73,99,15M 32S
73,100,15M 32S
74,100,14M 41S
75,100,14M 41S
75,103,14M 29S
77,103,14M 19S
78,103,14M 19S
78,105,14M 3S
78,107,13M 38S
78,110,13M 18S
80,110,13M 10S
80,112,12M 55S
83,112,12M 46S
83,113,12M 45S
83,114,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,116,11M 43S
86,116,10M 34S
88,116,9M 39S
89,116,9M 39S
89,118,9M 26S
89,120,8M 54S
89,122,8M 39S
89,124,8M 7S
89,126,7M 19S
91,126,6M 52S
91,128,6M 11S
93,128,5M 53S
93,131,5M 37S
96,131,5M 22S
96,133,5M 0S
97,133,4M 43S
98,133,4M 43S
99,133,4M 21S
100,133,4M 21S
100,136,4M 8S
101,136,3M 45S
102,136,3M 45S
105,136,3M 13S
105,139,2M 47S
106,139,2M 25S
107,139,2M 25S
110,139,2M 2S
111,139,1M 39S
113,139,1M 15S
113,142,1M 6S
114,142,22S
115,142,22S
End of 4th quarter,NA,0S
