Indiana,New York,time_rem
15-17,17-17,48M 0S
0,0,47M 44S
3,0,47M 11S
6,0,46M 40S
8,0,45M 48S
8,1,45M 6S
8,2,45M 6S
10,2,44M 47S
10,5,44M 27S
13,5,44M 16S
13,7,43M 32S
14,7,43M 17S
15,7,43M 17S
15,9,42M 58S
15,11,42M 40S
16,11,42M 4S
17,11,42M 4S
17,13,41M 48S
19,13,41M 5S
19,15,40M 51S
21,15,40M 41S
22,15,40M 41S
22,17,40M 27S
22,19,39M 27S
25,19,38M 44S
27,19,37M 45S
28,19,37M 45S
29,19,37M 9S
32,19,36M 52S
32,22,36M 35S
32,23,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,23,35M 45S
34,24,35M 31S
34,25,35M 31S
35,25,34M 49S
35,27,34M 32S
37,27,34M 21S
38,27,33M 13S
39,27,33M 13S
41,27,32M 46S
41,30,32M 34S
43,30,31M 28S
44,30,31M 1S
45,30,31M 1S
46,30,31M 1S
46,32,30M 12S
46,34,29M 36S
46,37,29M 4S
48,37,28M 51S
49,37,28M 51S
49,39,28M 38S
49,41,28M 20S
49,43,26M 59S
50,43,26M 15S
50,46,25M 59S
50,48,25M 37S
52,48,25M 29S
52,51,25M 18S
52,54,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,54,23M 44S
54,56,23M 25S
56,56,23M 8S
58,56,22M 6S
58,59,21M 48S
58,61,21M 19S
60,61,20M 58S
60,63,20M 40S
60,64,20M 40S
61,64,20M 17S
62,64,20M 17S
65,64,19M 28S
67,64,18M 15S
67,65,17M 0S
67,66,17M 0S
67,68,16M 29S
67,70,16M 6S
67,71,16M 6S
69,71,15M 52S
69,73,15M 31S
71,73,15M 22S
71,76,15M 8S
73,76,14M 49S
73,78,14M 34S
76,78,14M 14S
76,80,13M 20S
76,81,12M 46S
78,81,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,83,11M 46S
78,86,11M 4S
78,87,11M 4S
80,87,10M 45S
80,89,10M 26S
81,89,10M 12S
82,89,10M 12S
84,89,9M 43S
87,89,9M 2S
89,89,8M 36S
89,91,8M 18S
91,91,7M 27S
94,91,6M 37S
94,93,5M 46S
96,93,5M 28S
98,93,4M 15S
98,96,3M 58S
98,98,3M 32S
98,99,3M 32S
98,102,2M 55S
98,104,2M 22S
100,104,2M 13S
103,104,1M 48S
103,105,1M 16S
103,106,1M 16S
103,107,29S
103,108,29S
106,108,25S
106,109,2S
106,110,2S
107,110,0S
End of 4th quarter,NA,0S
