Golden State,Charlotte,time_rem
16-15,14-15,48M 0S
0,2,47M 43S
2,2,47M 2S
2,4,46M 44S
2,6,46M 8S
4,6,44M 42S
7,6,44M 5S
7,9,42M 44S
9,9,41M 51S
9,12,41M 15S
9,15,40M 40S
9,17,40M 1S
11,17,39M 12S
11,19,38M 49S
12,19,38M 38S
12,21,37M 22S
15,21,37M 0S
15,24,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,24,35M 2S
19,24,34M 15S
20,24,34M 2S
21,24,33M 58S
21,27,33M 37S
23,27,33M 22S
26,27,32M 33S
26,30,31M 38S
29,30,31M 20S
31,30,30M 13S
31,32,29M 22S
31,33,29M 22S
34,33,28M 50S
36,33,28M 22S
37,33,28M 22S
37,35,28M 10S
39,35,27M 38S
39,37,27M 19S
41,37,27M 4S
41,40,26M 39S
41,42,26M 13S
43,42,25M 32S
44,42,25M 6S
45,42,25M 6S
47,42,24M 3S
47,45,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,45,23M 20S
49,46,22M 51S
49,47,22M 51S
49,50,22M 33S
52,50,21M 26S
54,50,21M 7S
56,50,20M 41S
56,53,19M 52S
56,56,19M 14S
56,59,18M 40S
56,60,18M 22S
56,61,17M 13S
56,62,17M 13S
58,62,16M 50S
61,62,16M 32S
63,62,15M 7S
63,64,14M 56S
66,64,14M 13S
67,64,13M 57S
67,66,13M 43S
67,69,12M 32S
68,69,12M 11S
69,69,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,69,11M 21S
72,71,11M 5S
75,71,10M 42S
75,74,10M 1S
75,76,8M 53S
77,76,8M 40S
78,76,8M 40S
80,76,8M 6S
80,79,7M 41S
82,79,7M 19S
84,79,6M 59S
86,79,6M 27S
89,79,5M 19S
89,81,5M 6S
91,81,4M 44S
91,83,4M 28S
91,86,4M 1S
94,86,3M 37S
94,89,3M 27S
94,92,2M 52S
95,92,2M 8S
96,92,1M 33S
97,92,1M 33S
97,95,1M 18S
100,95,53S
100,98,42S
Jump ball: L. Ball vs. B. Wanamaker (G. Hayward gains possession),NA,9S
100,99,9S
100,100,9S
100,102,0S
End of 4th quarter,NA,0S
