Milwaukee,Toronto,time_rem
11-6,7-11,48M 0S
2,0,47M 55S
2,3,47M 9S
5,3,46M 54S
5,6,46M 40S
5,9,46M 15S
8,9,45M 50S
8,11,44M 58S
9,11,44M 36S
11,11,44M 10S
12,11,44M 10S
12,14,43M 57S
14,14,43M 44S
17,14,43M 11S
17,16,42M 47S
Jump ball: B. Lopez vs. A. Baynes (D. Augustin gains possession),NA,42M 22S
19,16,42M 10S
19,18,41M 48S
19,19,41M 44S
21,19,41M 35S
21,21,41M 16S
24,21,41M 6S
26,21,40M 33S
27,21,40M 33S
27,23,40M 17S
30,23,39M 6S
30,25,38M 50S
30,28,38M 24S
30,30,37M 54S
33,30,37M 0S
33,33,36M 47S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,33,35M 35S
35,33,35M 11S
35,36,34M 34S
37,36,34M 7S
37,39,33M 54S
37,40,33M 29S
37,41,33M 29S
40,41,33M 11S
40,44,32M 57S
42,44,32M 12S
42,47,31M 46S
44,47,31M 34S
47,47,30M 37S
Jump ball: G. Antetokounmpo vs. A. Baynes (K. Middleton gains possession),NA,30M 11S
49,47,30M 9S
51,47,29M 6S
51,50,28M 51S
54,50,28M 12S
56,50,27M 29S
58,50,26M 21S
58,52,25M 24S
60,52,25M 6S
60,53,24M 53S
60,54,24M 53S
63,54,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,57,23M 51S
64,57,23M 2S
64,60,22M 17S
64,62,21M 45S
66,62,20M 19S
66,64,19M 58S
68,64,19M 12S
69,64,18M 26S
71,64,18M 12S
74,64,17M 45S
74,65,17M 24S
74,66,17M 24S
77,66,17M 13S
77,69,16M 51S
77,72,15M 20S
80,72,15M 7S
80,73,15M 6S
83,73,14M 44S
83,74,14M 3S
83,75,14M 3S
83,78,13M 28S
83,80,12M 27S
83,82,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,84,10M 58S
84,84,10M 44S
85,84,10M 44S
87,84,10M 19S
88,84,10M 0S
89,84,10M 0S
92,84,9M 54S
92,87,9M 4S
94,87,8M 50S
96,87,8M 23S
96,89,6M 56S
96,91,6M 19S
98,91,6M 2S
99,91,5M 47S
100,91,5M 47S
100,94,5M 3S
101,94,4M 48S
102,94,4M 48S
104,94,4M 25S
104,97,4M 12S
105,97,3M 11S
106,97,3M 11S
106,100,3M 1S
106,102,1M 56S
109,102,1M 38S
109,105,1M 20S
111,105,40S
112,105,17S
113,105,17S
113,108,8S
115,108,0S
End of 4th quarter,NA,0S
