Minnesota,Milwaukee,time_rem
7-25,19-13,48M 0S
0,0,47M 44S
0,3,47M 21S
0,4,46M 59S
3,4,46M 47S
3,6,46M 33S
6,6,46M 16S
6,8,45M 45S
8,8,45M 33S
11,8,45M 6S
11,10,44M 48S
11,11,43M 58S
11,12,43M 58S
13,12,43M 42S
15,12,43M 19S
15,15,42M 50S
18,15,42M 33S
18,18,42M 5S
18,21,41M 50S
20,21,41M 35S
23,21,41M 20S
25,21,40M 50S
25,23,40M 34S
25,24,40M 34S
25,26,39M 59S
25,28,39M 25S
27,28,39M 16S
30,28,38M 19S
30,30,38M 7S
32,30,38M 0S
32,31,37M 48S
32,32,37M 48S
34,32,37M 8S
34,34,36M 50S
34,36,36M 39S
36,36,36M 30S
36,38,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,38,35M 22S
39,40,35M 9S
42,40,34M 59S
42,43,34M 47S
42,45,34M 10S
44,45,34M 0S
46,45,33M 3S
48,45,32M 43S
48,47,32M 25S
48,49,31M 58S
48,51,31M 33S
48,54,31M 8S
50,54,30M 49S
50,55,30M 32S
50,56,30M 32S
52,56,30M 18S
53,56,30M 18S
53,58,30M 2S
54,58,30M 1S
56,58,29M 52S
57,58,29M 52S
57,60,29M 12S
57,62,28M 44S
59,62,28M 26S
59,64,28M 6S
59,65,27M 45S
59,67,27M 19S
62,67,26M 39S
62,70,25M 36S
62,73,25M 11S
62,76,24M 32S
62,79,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,81,22M 17S
62,83,21M 58S
64,83,21M 25S
65,83,21M 4S
66,83,21M 4S
69,83,20M 41S
69,85,20M 24S
72,85,20M 11S
72,88,19M 54S
72,90,19M 26S
73,90,19M 10S
74,90,19M 10S
77,90,18M 34S
77,91,18M 15S
77,92,18M 15S
79,92,17M 54S
79,95,17M 23S
79,98,16M 54S
81,98,15M 53S
81,101,15M 35S
81,104,15M 8S
84,104,14M 57S
84,107,14M 42S
85,107,13M 23S
86,107,13M 23S
86,110,13M 11S
86,113,12M 33S
89,113,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,115,10M 52S
89,118,10M 21S
92,118,9M 13S
92,120,8M 54S
95,120,8M 35S
95,122,7M 33S
98,122,7M 22S
100,122,7M 1S
103,122,6M 7S
103,124,5M 48S
105,124,5M 32S
105,126,5M 22S
107,126,4M 30S
110,126,3M 54S
110,127,3M 35S
110,128,3M 35S
110,130,3M 13S
112,130,2M 59S
112,132,2M 46S
112,134,2M 30S
112,137,1M 46S
112,139,54S
End of 4th quarter,NA,0S
