Houston,Philadelphia,time_rem
11-17,19-10,48M 0S
0,2,47M 37S
3,2,47M 19S
6,2,46M 35S
6,4,46M 20S
8,4,46M 7S
8,7,46M 0S
11,7,45M 42S
11,9,45M 21S
14,9,44M 48S
14,11,43M 46S
14,14,42M 44S
16,14,42M 22S
16,16,42M 5S
16,18,41M 38S
18,18,41M 21S
18,21,41M 12S
18,24,40M 47S
18,27,40M 33S
18,29,39M 50S
19,29,38M 35S
20,29,38M 35S
20,30,38M 21S
20,31,38M 21S
20,33,37M 52S
20,35,37M 35S
21,35,37M 29S
22,35,37M 29S
22,38,37M 0S
24,38,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,39,35M 40S
24,40,35M 40S
26,40,34M 14S
29,40,33M 54S
31,40,33M 22S
31,42,32M 47S
31,44,32M 13S
32,44,32M 1S
32,46,31M 16S
34,46,31M 1S
34,49,30M 52S
34,50,30M 52S
34,52,30M 21S
34,55,29M 54S
34,57,29M 35S
36,57,29M 13S
36,59,28M 27S
37,59,27M 32S
37,62,26M 27S
39,62,26M 5S
39,63,25M 53S
41,63,25M 29S
41,66,25M 14S
43,66,25M 3S
43,69,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,69,23M 47S
45,71,23M 28S
45,73,22M 57S
47,73,22M 44S
49,73,22M 16S
49,76,21M 58S
49,78,21M 11S
52,78,20M 36S
54,78,20M 19S
57,78,20M 1S
60,78,19M 25S
60,80,18M 38S
60,82,18M 22S
62,82,18M 0S
63,82,18M 0S
63,84,17M 48S
64,84,17M 24S
65,84,17M 24S
65,86,17M 12S
68,86,16M 41S
68,88,15M 54S
68,89,15M 29S
68,90,15M 29S
70,90,15M 21S
70,91,15M 20S
70,92,15M 3S
70,93,15M 3S
73,93,14M 52S
75,93,14M 16S
77,93,13M 28S
77,94,12M 55S
77,95,12M 19S
77,96,12M 19S
79,96,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,96,11M 0S
82,97,10M 28S
82,98,10M 28S
82,99,10M 7S
82,100,10M 7S
84,100,9M 26S
84,101,8M 50S
84,102,8M 50S
86,102,8M 27S
89,102,7M 37S
89,104,7M 14S
Jump ball: J. Embiid vs. D. Cousins (D. Cousins gains possession),NA,7M 3S
91,104,6M 18S
93,104,5M 47S
93,106,5M 20S
95,106,4M 37S
96,106,4M 37S
96,107,4M 15S
96,108,4M 15S
99,108,3M 54S
102,108,2M 22S
102,110,2M 0S
105,110,1M 49S
106,110,1M 28S
106,112,1M 8S
106,113,43S
106,114,36S
106,115,36S
108,115,29S
Jump ball: D. Cousins vs. J. Embiid (J. Tate gains possession),NA,22S
110,115,13S
111,115,13S
111,116,12S
111,117,12S
112,117,6S
113,117,6S
113,118,5S
End of 4th quarter,NA,0S
