LA Clippers,Utah,time_rem
4-2,3-2,48M 0S
2,0,47M 39S
2,2,47M 15S
2,5,46M 6S
5,5,45M 22S
5,7,44M 14S
6,7,44M 4S
7,7,44M 4S
7,9,43M 45S
7,11,43M 9S
10,11,42M 59S
13,11,42M 29S
13,13,41M 29S
15,13,40M 35S
15,16,39M 44S
15,18,38M 55S
15,21,38M 32S
17,21,38M 20S
17,23,38M 6S
17,26,37M 44S
17,28,37M 17S
17,31,36M 43S
18,31,36M 12S
19,31,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,34,35M 38S
19,37,35M 9S
20,37,34M 43S
21,37,34M 43S
24,37,34M 20S
24,38,33M 12S
24,40,31M 41S
26,40,31M 25S
28,40,30M 51S
29,40,29M 50S
30,40,29M 50S
30,43,29M 3S
33,43,28M 45S
35,43,27M 45S
38,43,26M 58S
40,43,26M 26S
42,43,25M 54S
42,46,25M 39S
42,49,24M 50S
42,51,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,54,23M 1S
42,57,21M 25S
42,60,21M 0S
43,60,20M 42S
44,60,20M 42S
47,60,20M 0S
47,62,19M 46S
47,64,19M 16S
47,67,18M 38S
48,67,17M 50S
51,67,16M 55S
51,69,16M 29S
54,69,16M 11S
54,71,15M 50S
56,71,15M 40S
56,73,15M 23S
57,73,15M 9S
58,73,15M 9S
59,73,15M 9S
59,75,14M 59S
61,75,14M 49S
61,76,14M 37S
61,77,13M 55S
61,78,13M 55S
63,78,13M 42S
63,80,12M 59S
63,82,12M 36S
65,82,12M 30S
65,84,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
67,84,11M 20S
67,86,10M 43S
69,86,10M 29S
71,86,10M 0S
72,86,9M 26S
73,86,9M 26S
73,88,9M 14S
75,88,9M 4S
75,90,8M 51S
75,91,8M 51S
77,91,8M 36S
79,91,7M 25S
81,91,6M 47S
84,91,6M 22S
85,91,5M 34S
86,91,5M 34S
86,93,5M 14S
88,93,4M 58S
88,95,4M 42S
89,95,3M 53S
90,95,3M 53S
91,95,3M 53S
94,95,3M 15S
94,97,2M 57S
94,100,1M 49S
94,102,1M 17S
97,102,1M 6S
97,103,50S
97,104,50S
100,104,40S
100,105,20S
100,106,20S
End of 4th quarter,NA,0S
