LA Clippers,Orlando,time_rem
15-5,8-12,48M 0S
0,0,47M 41S
0,3,47M 15S
2,3,46M 55S
5,3,46M 16S
8,3,45M 33S
10,3,44M 52S
12,3,44M 22S
14,3,43M 59S
14,5,42M 50S
15,5,42M 34S
16,5,42M 34S
18,5,41M 59S
18,7,41M 34S
18,9,39M 52S
20,9,39M 42S
20,11,39M 17S
20,13,38M 22S
22,13,38M 5S
22,14,37M 50S
22,15,37M 50S
24,15,37M 25S
24,17,37M 15S
24,18,36M 59S
24,19,36M 59S
24,20,36M 59S
24,21,36M 41S
24,22,36M 41S
24,23,36M 41S
26,23,36M 34S
26,26,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,26,35M 36S
30,26,35M 36S
30,28,35M 17S
30,30,34M 47S
32,30,34M 7S
34,30,33M 37S
37,30,33M 13S
37,33,32M 55S
39,33,32M 33S
39,35,32M 22S
40,35,31M 4S
41,35,31M 4S
41,38,30M 25S
42,38,30M 11S
43,38,30M 11S
45,38,29M 48S
47,38,29M 22S
50,38,28M 42S
50,41,28M 24S
50,43,27M 50S
50,45,27M 16S
52,45,26M 56S
52,48,26M 41S
54,48,26M 15S
55,48,26M 15S
57,48,25M 26S
59,48,24M 56S
62,48,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,50,23M 35S
62,53,23M 0S
62,55,22M 43S
62,56,22M 43S
62,59,21M 54S
65,59,21M 34S
67,59,21M 8S
69,59,20M 40S
69,61,20M 14S
72,61,18M 58S
73,61,18M 36S
74,61,18M 35S
76,61,17M 8S
77,61,17M 8S
77,63,16M 55S
79,63,16M 31S
79,65,16M 10S
81,65,15M 54S
81,68,15M 15S
84,68,14M 57S
84,69,13M 45S
86,69,13M 33S
86,71,12M 59S
88,71,12M 46S
90,71,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,72,11M 21S
90,75,10M 16S
93,75,9M 58S
95,75,8M 25S
98,75,7M 52S
100,75,7M 8S
100,77,6M 49S
102,77,6M 33S
104,77,6M 10S
104,79,5M 58S
104,80,5M 29S
104,81,5M 29S
107,81,5M 16S
107,83,4M 33S
109,83,3M 55S
109,85,3M 22S
109,86,3M 7S
111,86,1M 57S
113,86,1M 30S
113,87,44S
113,88,44S
116,88,27S
116,90,13S
End of 4th quarter,NA,0S
