Utah,Memphis,time_rem
2-1,1-2,48M 0S
0,0,47M 44S
2,0,47M 29S
4,0,47M 9S
4,3,46M 18S
7,3,46M 1S
7,5,45M 49S
10,5,45M 24S
13,5,44M 16S
13,7,44M 1S
14,7,43M 43S
16,7,42M 44S
16,9,42M 30S
17,9,42M 25S
18,9,42M 25S
18,10,41M 42S
18,11,41M 42S
20,11,41M 15S
20,13,40M 58S
20,15,40M 25S
23,15,40M 10S
23,17,39M 59S
26,17,39M 38S
26,19,38M 13S
28,19,37M 17S
31,19,36M 52S
34,19,36M 36S
34,22,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,22,35M 46S
36,25,35M 29S
36,27,34M 57S
39,27,34M 41S
39,30,34M 24S
40,30,33M 47S
41,30,33M 47S
42,30,33M 47S
44,30,32M 13S
44,33,32M 1S
46,33,31M 39S
46,36,31M 18S
46,38,30M 56S
49,38,30M 12S
49,40,29M 58S
50,40,29M 38S
51,40,29M 38S
52,40,29M 38S
52,41,28M 40S
52,42,28M 40S
52,44,27M 51S
54,44,27M 32S
54,46,26M 55S
57,46,26M 38S
60,46,26M 16S
60,49,26M 0S
60,51,25M 30S
61,51,24M 8S
62,51,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,51,23M 49S
65,53,23M 16S
65,55,22M 46S
68,55,22M 31S
68,57,21M 55S
68,59,21M 28S
68,61,20M 52S
71,61,20M 35S
71,64,20M 16S
73,64,19M 29S
74,64,19M 29S
74,66,19M 10S
74,68,18M 10S
76,68,17M 51S
76,71,17M 20S
78,71,17M 2S
80,71,16M 41S
80,74,16M 28S
80,75,16M 5S
80,76,16M 5S
82,76,15M 55S
85,76,15M 10S
88,76,14M 38S
88,78,14M 25S
88,80,14M 1S
89,80,13M 45S
90,80,13M 45S
90,83,13M 38S
91,83,13M 23S
93,83,12M 56S
93,85,12M 31S
96,85,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,87,11M 46S
96,89,11M 16S
96,90,10M 42S
96,91,10M 42S
96,93,9M 32S
98,93,8M 51S
98,95,8M 21S
98,98,7M 58S
100,98,7M 38S
100,100,7M 6S
103,100,6M 51S
103,103,6M 32S
105,103,6M 11S
105,105,5M 26S
105,106,5M 0S
105,107,5M 0S
107,107,4M 45S
107,109,4M 27S
109,109,4M 4S
110,109,4M 4S
113,109,3M 15S
115,109,2M 49S
116,109,2M 11S
117,109,2M 11S
118,109,1M 34S
119,109,1M 34S
119,110,1M 27S
119,111,1M 27S
120,111,57S
121,111,57S
End of 4th quarter,NA,0S
