Cleveland,Detroit,time_rem
2-0,0-2,48M 0S
0,0,47M 43S
0,3,46M 42S
3,3,46M 27S
6,3,45M 51S
9,3,45M 15S
9,6,45M 3S
9,8,44M 40S
9,9,44M 23S
11,9,44M 13S
11,11,43M 54S
11,14,43M 41S
11,16,43M 5S
13,16,42M 5S
13,17,41M 55S
13,20,41M 24S
13,21,40M 54S
13,22,40M 54S
16,22,40M 28S
16,24,39M 43S
18,24,39M 34S
18,26,38M 48S
20,26,38M 37S
22,26,37M 17S
24,26,36M 46S
26,26,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,28,35M 23S
28,28,34M 19S
30,28,33M 48S
30,30,33M 36S
31,30,33M 23S
32,30,33M 23S
34,30,32M 32S
36,30,32M 9S
36,33,31M 45S
36,34,31M 45S
38,34,30M 31S
40,34,30M 5S
40,35,29M 47S
40,36,29M 47S
40,39,29M 7S
42,39,28M 59S
43,39,28M 59S
43,40,28M 25S
45,40,28M 8S
45,41,28M 2S
45,42,28M 2S
48,42,27M 49S
48,45,27M 39S
50,45,27M 14S
52,45,26M 57S
52,47,26M 47S
53,47,26M 38S
54,47,26M 38S
54,50,26M 13S
55,50,25M 49S
55,53,25M 40S
57,53,24M 48S
59,53,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,53,23M 24S
62,55,22M 34S
64,55,22M 12S
64,57,22M 1S
64,59,21M 39S
64,60,21M 24S
67,60,21M 10S
67,63,20M 53S
69,63,20M 33S
69,65,20M 21S
71,65,20M 14S
73,65,19M 56S
76,65,19M 10S
76,67,18M 45S
78,67,17M 54S
78,68,16M 38S
78,69,16M 38S
78,70,15M 52S
78,71,15M 52S
78,72,15M 15S
79,72,14M 59S
81,72,14M 27S
81,75,14M 4S
81,76,13M 52S
81,77,13M 52S
81,79,13M 28S
81,81,13M 10S
81,83,12M 27S
81,86,12M 0S
End of 3rd quarter,NA,0S
Start of 4th quarter,NA,0S
81,88,-1M 21S
84,88,-2M 17S
84,90,-3M 58S
86,90,-4M 40S
86,92,-5M 40S
89,92,-5M 15S
91,92,-6M 45S
91,95,-6M 35S
92,95,-7M 58S
92,97,-7M 40S
92,98,-7M 40S
93,98,-8M 23S
93,101,-8M 5S
94,101,-9M 31S
96,101,-10M 56S
97,101,-10M 27S
98,101,-11M 52S
99,101,-11M 52S
100,101,-11M 8S
101,101,-11M 8S
End of 4th quarter,NA,-12M 0S
Start of 1st overtime,NA,-19M 0S
Jump ball: A. Drummond vs. M. Plumlee (D. Rose gains possession),NA,-19M 0S
101,102,-20M 45S
101,104,-20M 11S
101,106,-21M 52S
101,109,-21M 17S
103,109,-22M 45S
103,112,-22M 15S
105,112,-23M 58S
108,112,-23M 34S
110,112,-24M 54S
Jump ball: D. Rose vs. I. Okoro (S. Doumbouya gains possession),NA,-24M 30S
112,112,-24M 7S
End of 1st overtime,NA,-24M 0S
Start of 2nd overtime,NA,-31M 0S
Jump ball: A. Drummond vs. J. Grant (K. Love gains possession),NA,-31M 0S
114,112,-32M 1S
116,112,-33M 41S
119,112,-33M 5S
120,112,-34M 30S
121,112,-34M 30S
122,112,-34M 30S
122,114,-34M 15S
124,114,-35M 53S
124,115,-35M 48S
124,117,-35M 10S
127,117,-36M 57S
127,118,-36M 47S
127,119,-36M 47S
128,119,-36M 36S
End of 2nd overtime,NA,-36M 0S
