Phoenix,LA Lakers,time_rem
4-2,2-4,48M 0S
3,0,47M 41S
3,2,47M 21S
5,2,46M 59S
8,2,45M 52S
8,5,45M 30S
11,5,45M 10S
14,5,44M 36S
14,7,42M 48S
16,7,41M 54S
16,10,41M 29S
18,10,41M 13S
21,10,40M 51S
24,10,40M 12S
27,10,39M 46S
27,12,38M 44S
30,12,37M 23S
33,12,36M 57S
33,14,36M 42S
36,14,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,14,34M 48S
38,14,34M 48S
38,15,34M 33S
38,16,34M 33S
40,16,34M 13S
40,18,33M 50S
42,18,32M 59S
45,18,32M 31S
45,19,31M 56S
47,19,31M 44S
48,19,31M 44S
48,22,31M 36S
48,24,31M 18S
48,27,30M 43S
50,27,30M 14S
50,29,30M 1S
52,29,29M 37S
52,31,29M 26S
55,31,29M 0S
55,34,27M 48S
55,35,27M 12S
55,36,27M 12S
56,36,26M 54S
57,36,26M 54S
59,36,26M 29S
59,38,25M 53S
59,39,25M 53S
Jump ball: L. James vs. T. Craig (W. Matthews gains possession),NA,25M 19S
60,39,24M 30S
61,39,24M 11S
62,39,24M 11S
62,41,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,43,23M 51S
63,43,23M 32S
64,43,23M 32S
64,45,23M 13S
64,46,23M 13S
66,46,22M 31S
66,48,22M 16S
69,48,22M 6S
69,50,21M 55S
71,50,20M 58S
71,52,20M 45S
71,55,20M 4S
73,55,19M 38S
73,58,19M 18S
75,58,18M 52S
75,60,18M 46S
77,60,18M 10S
77,61,17M 12S
77,62,17M 12S
77,64,16M 42S
78,64,16M 33S
79,64,16M 33S
79,67,16M 9S
80,67,15M 26S
81,67,15M 26S
82,67,14M 52S
83,67,14M 52S
83,69,14M 21S
84,69,14M 19S
85,69,14M 10S
86,69,14M 10S
86,71,14M 1S
Jump ball: L. James vs. J. Crowder (D. Schröder gains possession),NA,13M 28S
86,73,13M 24S
89,73,12M 35S
89,75,12M 30S
89,76,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,78,11M 23S
91,78,10M 53S
94,78,9M 55S
94,80,9M 16S
Jump ball: L. James vs. D. Booker (W. Matthews gains possession),NA,8M 51S
94,81,8M 34S
94,82,8M 34S
94,84,8M 6S
96,84,7M 56S
99,84,7M 15S
101,84,6M 43S
101,86,5M 55S
101,88,5M 14S
101,90,4M 41S
104,90,4M 22S
104,93,4M 0S
105,93,3M 6S
106,93,3M 6S
108,93,2M 53S
108,95,2M 13S
111,95,1M 46S
111,98,1M 36S
113,98,37S
113,99,30S
113,100,30S
End of 4th quarter,NA,0S
