LA Lakers,Orlando,time_rem
36-25,18-43,48M 0S
0,2,47M 50S
2,2,47M 33S
4,2,46M 55S
4,5,46M 27S
6,5,46M 10S
6,6,45M 53S
6,7,45M 53S
8,7,45M 1S
11,7,44M 30S
13,7,43M 38S
13,9,43M 24S
16,9,42M 55S
19,9,42M 28S
20,9,41M 34S
20,11,41M 17S
20,13,40M 22S
22,13,39M 58S
22,16,38M 37S
24,16,38M 23S
25,16,37M 53S
26,16,37M 53S
28,16,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,16,35M 29S
32,16,35M 11S
32,18,34M 57S
34,18,34M 35S
34,21,34M 19S
34,23,33M 28S
34,24,33M 28S
34,26,33M 6S
36,26,32M 46S
36,27,32M 32S
38,27,32M 23S
38,29,31M 50S
38,31,31M 13S
38,33,30M 49S
38,34,30M 49S
41,34,30M 36S
41,37,30M 21S
41,39,30M 0S
41,42,29M 20S
41,44,29M 0S
41,45,29M 0S
41,46,28M 7S
41,47,28M 7S
43,47,27M 57S
43,48,27M 16S
43,49,27M 16S
43,50,27M 16S
45,50,27M 1S
48,50,26M 41S
48,52,26M 21S
48,54,25M 57S
50,54,24M 50S
50,56,24M 43S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,56,23M 36S
52,58,22M 15S
54,58,21M 52S
56,58,21M 11S
56,61,20M 58S
58,61,19M 39S
60,61,18M 47S
62,61,18M 21S
62,63,18M 1S
63,63,17M 42S
63,65,17M 24S
65,65,16M 54S
65,67,16M 30S
65,69,16M 6S
65,71,15M 9S
68,71,14M 57S
69,71,14M 19S
70,71,14M 19S
70,73,14M 5S
72,73,13M 56S
74,73,13M 24S
74,74,13M 9S
74,75,13M 9S
76,75,12M 57S
76,76,12M 30S
76,77,12M 30S
78,77,12M 21S
79,77,12M 21S
79,80,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,80,11M 39S
82,83,11M 19S
85,83,11M 9S
85,84,10M 50S
87,84,10M 32S
88,84,10M 32S
88,87,10M 9S
90,87,8M 54S
90,88,8M 31S
90,89,8M 31S
92,89,8M 17S
94,89,7M 41S
95,89,7M 9S
95,91,6M 47S
98,91,5M 17S
98,93,4M 58S
100,93,4M 48S
100,96,4M 25S
102,96,4M 7S
104,96,2M 57S
107,96,2M 33S
107,98,2M 8S
109,98,1M 42S
109,99,1M 33S
109,100,1M 33S
112,100,1M 17S
114,100,44S
114,103,40S
End of 4th quarter,NA,0S
