Milwaukee,Detroit,time_rem
8-4,2-9,48M 0S
0,0,47M 41S
3,0,45M 58S
3,1,45M 37S
6,1,45M 5S
6,4,44M 41S
9,4,44M 32S
12,4,43M 52S
12,6,42M 57S
12,7,42M 57S
15,7,42M 19S
15,10,41M 58S
17,10,40M 48S
17,11,40M 3S
20,11,39M 44S
22,11,38M 14S
22,13,37M 32S
24,13,37M 13S
27,13,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,15,35M 19S
29,15,34M 42S
31,15,34M 22S
31,18,33M 57S
34,18,33M 43S
34,20,33M 21S
37,20,33M 5S
37,21,32M 51S
37,22,32M 51S
37,25,32M 23S
40,25,32M 5S
40,26,31M 53S
41,26,31M 25S
42,26,31M 25S
44,26,30M 51S
46,26,30M 28S
48,26,29M 53S
48,29,29M 38S
51,29,29M 21S
52,29,28M 49S
52,32,28M 38S
52,34,27M 52S
54,34,27M 39S
56,34,27M 11S
56,36,26M 55S
56,37,26M 14S
56,39,25M 45S
56,42,25M 7S
56,44,24M 36S
58,44,24M 30S
58,47,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,50,23M 47S
60,50,23M 27S
62,50,22M 48S
62,52,22M 27S
64,52,22M 9S
66,52,20M 54S
66,55,20M 35S
66,57,19M 11S
68,57,18M 12S
69,57,18M 12S
69,59,17M 52S
72,59,17M 41S
72,60,17M 30S
72,61,17M 30S
75,61,17M 12S
76,61,16M 40S
77,61,16M 40S
77,63,16M 30S
79,63,16M 11S
79,64,15M 38S
82,64,15M 21S
82,65,15M 8S
82,66,15M 8S
85,66,14M 47S
85,67,14M 27S
86,67,13M 25S
86,69,13M 12S
86,71,12M 58S
89,71,12M 42S
89,73,12M 26S
89,75,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,78,11M 12S
92,78,9M 44S
94,78,9M 1S
94,80,8M 45S
97,80,8M 22S
97,82,8M 9S
99,82,7M 47S
99,85,7M 30S
102,85,7M 11S
104,85,6M 15S
106,85,4M 59S
106,88,4M 3S
108,88,3M 35S
108,90,3M 18S
108,92,2M 32S
108,93,2M 1S
108,95,1M 10S
108,96,57S
108,98,27S
109,98,23S
110,98,23S
110,101,17S
End of 4th quarter,NA,0S
