Orlando,Chicago,time_rem
18-37,22-32,48M 0S
0,3,47M 40S
2,3,47M 19S
2,5,47M 1S
2,8,46M 38S
5,8,46M 17S
8,8,45M 48S
8,11,45M 18S
8,14,44M 50S
10,14,44M 26S
12,14,43M 50S
15,14,42M 58S
17,14,41M 46S
17,17,41M 0S
19,17,40M 42S
21,17,40M 1S
23,17,39M 25S
25,17,38M 43S
26,17,38M 43S
Jump ball: D. Theis vs. D. Hall (C. White gains possession),NA,38M 28S
26,19,38M 11S
26,21,37M 27S
28,21,37M 10S
30,21,36M 51S
30,22,36M 30S
32,22,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,22,35M 40S
34,25,34M 51S
37,25,34M 35S
37,28,33M 46S
39,28,33M 29S
39,31,33M 19S
39,33,32M 54S
41,33,32M 26S
41,35,31M 23S
41,38,30M 54S
43,38,30M 35S
46,38,29M 56S
46,41,29M 37S
48,41,29M 23S
51,41,28M 49S
51,43,28M 0S
51,45,27M 28S
51,46,27M 28S
53,46,25M 46S
53,48,25M 25S
54,48,25M 11S
54,50,24M 57S
54,53,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,53,23M 45S
57,56,23M 28S
59,56,21M 56S
61,56,21M 24S
61,58,21M 13S
63,58,20M 59S
64,58,20M 59S
66,58,20M 1S
66,60,19M 44S
68,60,19M 22S
68,62,19M 9S
68,64,18M 51S
70,64,18M 24S
71,64,18M 24S
71,66,18M 10S
73,66,17M 25S
76,66,16M 19S
79,66,15M 53S
79,68,15M 38S
82,68,14M 57S
82,70,14M 38S
85,70,14M 20S
85,71,14M 8S
85,72,14M 8S
86,72,13M 52S
87,72,13M 52S
89,72,13M 31S
91,72,13M 11S
93,72,12M 49S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,72,10M 38S
95,72,10M 38S
95,75,9M 54S
97,75,9M 25S
97,77,9M 6S
99,77,8M 40S
99,80,8M 29S
99,82,8M 2S
99,83,8M 2S
100,83,7M 47S
101,83,7M 47S
101,85,7M 38S
101,88,7M 10S
102,88,6M 52S
102,90,6M 21S
102,93,5M 36S
104,93,5M 17S
104,96,4M 54S
104,98,3M 48S
106,98,3M 30S
108,98,3M 12S
108,99,3M 2S
108,101,2M 14S
111,101,1M 49S
111,103,1M 30S
111,104,1M 30S
112,104,27S
113,104,27S
113,106,22S
114,106,20S
115,106,20S
End of 4th quarter,NA,0S
