Dallas,Oklahoma City,time_rem
19-17,16-21,48M 0S
0,0,47M 36S
0,3,47M 23S
3,3,47M 5S
6,3,46M 4S
6,5,45M 47S
7,5,45M 33S
7,8,45M 26S
9,8,45M 7S
9,10,44M 51S
9,13,44M 11S
9,15,43M 18S
12,15,42M 53S
12,18,42M 30S
12,20,41M 38S
14,20,41M 22S
14,22,41M 0S
14,25,40M 20S
14,26,39M 52S
14,27,39M 52S
14,28,39M 24S
14,29,39M 24S
14,31,38M 17S
15,31,38M 8S
16,31,38M 8S
16,33,37M 37S
18,33,37M 25S
18,35,36M 52S
19,35,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,35,35M 32S
24,35,34M 54S
24,37,34M 27S
26,37,33M 33S
26,40,32M 55S
27,40,32M 28S
28,40,32M 28S
28,42,32M 12S
30,42,31M 30S
30,45,31M 15S
30,47,30M 46S
32,47,30M 33S
34,47,29M 33S
37,47,29M 8S
37,50,28M 54S
37,52,28M 17S
39,52,27M 47S
39,54,27M 38S
41,54,27M 23S
43,54,26M 48S
43,57,26M 36S
43,60,26M 4S
43,62,25M 20S
44,62,25M 9S
47,62,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,62,23M 15S
52,62,22M 25S
52,63,21M 59S
52,64,21M 59S
54,64,21M 18S
56,64,20M 49S
56,67,20M 25S
59,67,20M 1S
59,70,19M 45S
59,72,19M 25S
59,73,19M 25S
59,76,19M 0S
59,78,17M 34S
59,80,17M 7S
62,80,16M 56S
65,80,16M 24S
65,82,15M 54S
67,82,15M 47S
70,82,15M 18S
71,82,14M 12S
72,82,14M 12S
72,84,13M 54S
72,86,13M 28S
72,87,13M 28S
72,88,12M 54S
72,89,12M 54S
74,89,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,89,11M 38S
76,89,11M 38S
77,89,10M 49S
77,92,10M 19S
79,92,9M 58S
79,94,9M 20S
80,94,8M 30S
80,96,8M 12S
80,99,7M 43S
81,99,7M 32S
82,99,7M 7S
85,99,6M 54S
88,99,6M 25S
88,101,6M 1S
89,101,5M 35S
89,102,4M 49S
89,103,4M 49S
90,103,4M 38S
93,103,4M 10S
94,103,3M 43S
97,103,3M 24S
99,103,2M 48S
100,103,1M 58S
101,103,1M 58S
101,105,1M 46S
101,107,1M 21S
102,107,1M 14S
103,107,1M 14S
103,110,53S
105,110,46S
105,111,40S
105,112,40S
107,112,34S
108,112,34S
108,113,27S
108,114,27S
108,115,17S
108,116,17S
End of 4th quarter,NA,0S
