Utah,Sacramento,time_rem
52-20,31-41,48M 0S
0,0,47M 48S
2,0,46M 33S
5,0,46M 13S
5,2,46M 0S
5,4,45M 20S
5,6,44M 34S
5,8,43M 51S
5,11,43M 5S
7,11,42M 49S
9,11,41M 54S
10,11,41M 54S
10,13,41M 37S
10,15,41M 8S
11,15,41M 4S
11,18,40M 46S
11,20,40M 36S
13,20,40M 17S
13,22,39M 47S
13,23,39M 47S
13,25,39M 8S
15,25,38M 44S
18,25,38M 14S
21,25,37M 45S
24,25,37M 12S
26,25,36M 52S
28,25,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,27,35M 31S
31,27,35M 14S
31,29,34M 46S
34,29,34M 29S
37,29,34M 10S
37,32,33M 51S
40,32,33M 35S
40,34,32M 15S
42,34,31M 28S
44,34,30M 43S
45,34,30M 43S
47,34,30M 18S
47,36,30M 5S
47,37,29M 44S
47,38,29M 44S
47,40,29M 13S
50,40,28M 29S
50,42,28M 13S
50,45,27M 45S
52,45,27M 18S
54,45,26M 46S
54,47,25M 35S
57,47,25M 23S
59,47,24M 54S
60,47,24M 54S
60,49,24M 38S
62,49,24M 29S
63,49,24M 1S
64,49,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,51,23M 43S
66,51,23M 24S
69,51,23M 7S
71,51,22M 20S
71,53,22M 1S
73,53,21M 21S
76,53,21M 2S
77,53,20M 4S
78,53,20M 4S
81,53,19M 36S
81,55,18M 43S
84,55,18M 26S
84,56,18M 9S
84,57,18M 9S
84,59,17M 49S
87,59,17M 23S
87,61,17M 10S
90,61,16M 16S
90,63,16M 0S
92,63,15M 40S
92,66,15M 14S
92,68,14M 11S
92,71,13M 46S
92,73,13M 17S
93,73,13M 0S
94,73,13M 0S
97,73,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,73,11M 42S
99,73,11M 42S
99,74,10M 36S
99,77,10M 4S
101,77,9M 43S
101,79,9M 8S
103,79,8M 52S
103,81,8M 37S
103,83,6M 45S
105,83,6M 20S
105,85,6M 8S
107,85,5M 56S
110,85,5M 27S
110,87,5M 9S
111,87,4M 20S
112,87,4M 20S
113,87,4M 20S
115,87,3M 58S
115,89,3M 38S
116,89,3M 24S
117,89,3M 24S
117,92,2M 23S
117,94,2M 4S
118,94,1M 5S
119,94,1M 5S
119,96,26S
120,96,14S
121,96,14S
121,99,0S
End of 4th quarter,NA,0S
