LA Lakers,Atlanta,time_rem
16-6,10-10,48M 0S
0,0,47M 45S
0,2,47M 25S
2,2,47M 13S
4,2,46M 37S
5,2,45M 44S
7,2,45M 1S
9,2,44M 45S
9,5,43M 35S
9,8,42M 54S
11,8,42M 30S
11,10,42M 25S
13,10,41M 55S
13,12,41M 40S
15,12,41M 15S
15,13,41M 3S
15,14,41M 3S
17,14,40M 52S
19,14,39M 48S
19,17,39M 26S
21,17,39M 8S
21,19,38M 54S
23,19,38M 42S
23,22,37M 49S
25,22,36M 35S
25,25,36M 12S
26,25,36M 0S
27,25,36M 0S
28,25,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,25,34M 59S
30,25,34M 59S
30,27,34M 39S
30,29,32M 39S
30,31,32M 14S
Jump ball: R. Rondo vs. A. Caruso (B. Fernando gains possession),NA,31M 53S
30,34,31M 38S
32,34,31M 20S
34,34,30M 52S
34,36,30M 40S
37,36,30M 18S
37,38,29M 53S
38,38,29M 35S
39,38,29M 35S
39,39,29M 24S
39,40,29M 24S
41,40,29M 18S
43,40,28M 47S
43,42,28M 35S
45,42,28M 23S
45,43,28M 3S
45,44,26M 29S
45,45,26M 29S
45,46,25M 51S
46,46,25M 39S
47,46,25M 39S
50,46,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,46,23M 28S
52,46,23M 28S
55,46,22M 57S
55,48,22M 16S
55,50,21M 44S
57,50,20M 40S
57,52,20M 28S
57,54,20M 5S
60,54,19M 47S
60,56,19M 31S
62,56,18M 38S
62,58,18M 18S
64,58,17M 58S
64,60,17M 23S
64,63,16M 57S
66,63,16M 37S
66,66,16M 13S
68,66,15M 51S
68,68,15M 26S
70,68,15M 3S
70,69,14M 50S
70,70,14M 50S
70,71,14M 50S
70,73,14M 23S
70,76,14M 1S
72,76,13M 24S
74,76,12M 49S
75,76,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,76,11M 33S
78,76,11M 1S
81,76,10M 14S
84,76,9M 10S
86,76,8M 52S
86,78,8M 33S
86,80,7M 47S
88,80,7M 27S
88,83,5M 55S
88,85,5M 9S
90,85,4M 51S
90,86,4M 32S
92,86,4M 18S
93,86,4M 3S
95,86,3M 47S
96,86,3M 47S
96,87,3M 42S
96,88,3M 42S
96,90,3M 14S
96,92,2M 35S
96,94,2M 4S
98,94,1M 48S
98,97,1M 40S
101,97,1M 12S
103,97,48S
104,97,19S
105,97,19S
105,99,16S
106,99,14S
107,99,14S
End of 4th quarter,NA,0S
