Charlotte,Washington,time_rem
33-39,34-38,48M 0S
0,2,47M 46S
2,2,47M 21S
2,4,47M 1S
4,4,46M 29S
5,4,46M 29S
5,7,44M 49S
7,7,44M 28S
10,7,44M 12S
13,7,43M 32S
13,8,43M 20S
16,8,43M 2S
16,10,42M 12S
17,10,42M 7S
18,10,42M 7S
21,10,41M 37S
21,12,41M 25S
22,12,40M 50S
23,12,40M 50S
26,12,40M 15S
26,14,40M 4S
29,14,39M 13S
29,16,38M 48S
32,16,38M 32S
32,18,38M 21S
34,18,37M 47S
34,20,37M 16S
36,20,36M 34S
36,22,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,24,35M 16S
36,26,34M 44S
38,26,34M 0S
38,28,33M 37S
40,28,32M 28S
40,31,32M 18S
40,33,31M 37S
40,35,31M 6S
40,37,30M 30S
43,37,30M 6S
43,40,29M 50S
45,40,29M 36S
46,40,29M 36S
46,42,29M 27S
48,42,27M 57S
48,45,27M 10S
50,45,26M 58S
50,47,26M 34S
53,47,25M 32S
55,47,25M 4S
55,48,24M 52S
55,49,24M 52S
56,49,24M 41S
56,51,24M 28S
56,52,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,52,23M 22S
59,54,23M 5S
59,55,23M 5S
61,55,22M 46S
61,57,22M 36S
62,57,22M 24S
63,57,22M 24S
63,59,22M 11S
65,59,21M 37S
65,62,21M 25S
67,62,20M 57S
68,62,20M 39S
69,62,20M 39S
72,62,20M 25S
72,63,19M 1S
72,64,19M 1S
72,66,18M 19S
72,67,17M 3S
72,69,16M 56S
74,69,16M 37S
75,69,16M 4S
76,69,16M 4S
77,69,15M 42S
78,69,15M 42S
79,69,15M 37S
80,69,15M 37S
82,69,15M 11S
84,69,14M 41S
84,71,14M 29S
84,74,13M 52S
87,74,13M 25S
87,77,13M 7S
87,79,12M 31S
90,79,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,81,11M 43S
90,83,11M 3S
92,83,10M 50S
92,84,10M 40S
92,85,10M 40S
92,88,10M 12S
92,89,9M 16S
92,90,8M 39S
92,91,8M 39S
94,91,8M 27S
94,94,8M 4S
94,96,7M 39S
96,96,7M 28S
97,96,7M 28S
97,99,7M 16S
99,99,6M 58S
100,99,6M 58S
100,100,6M 14S
100,101,6M 14S
101,101,5M 59S
102,101,5M 59S
103,101,5M 34S
106,101,5M 23S
106,103,4M 57S
108,103,4M 35S
108,105,4M 26S
108,107,3M 49S
108,109,3M 26S
110,109,3M 12S
110,111,2M 53S
110,113,1M 36S
110,114,9S
110,115,9S
End of 4th quarter,NA,0S
